37780_at,1462_s_at,37985_at,34361_at,37277_at,32794_g_at,36029_at,38915_at,32287_s_at,36808_at,32249_at,33777_at,31900_at,36377_at,33238_at,1065_at,36490_s_at,35362_at,771_s_at,38319_at,1405_i_at,33145_at,36455_at,38819_at,41097_at,675_at,619_s_at,41198_at,37829_at,41049_at,36591_at,38533_s_at,35193_at,2059_s_at,1104_s_at,34990_at,40954_at,35792_at,1997_s_at,656_at,40463_at,40715_at,35994_at,34665_g_at,41685_at,41468_at,296_at,31742_at,35974_at,32649_at,577_at,38604_at,38051_at,35246_at,37889_at,35791_at,41504_s_at,40708_at,37419_g_at,36856_at,37401_g_at,1536_at,40775_at,36799_at,38803_at,32227_at,41745_at,40688_at,36392_at,33910_at,35862_at,1814_at,39261_at,38620_at,717_at,40377_at,1637_at,34730_g_at,37602_at,1737_s_at,1731_at,245_at,38884_at,35863_g_at,37918_at,36787_at,36874_at,37695_at,36906_at,35936_g_at,39576_at,32625_at,189_s_at,40749_at,33856_at,1426_at,40720_at,36108_at,37571_at,910_at,class
-0.34946,0.44858,-0.48735,-0.27176,-0.62335,-0.38501,-0.40883,-0.61624,-0.46432,-0.57756,-0.34065,-0.42326,-0.15739,-0.60558,-0.47962,0.33621,-0.79108,-0.08423,-0.32564,-0.40356,-0.71892,0.14729,-0.43599,-0.41672,-0.53225,-0.53327,-0.46559,-0.12312,-0.35426,-0.6608,-0.61134,-0.45791,-0.34149,-0.50433,-0.05898,-0.47191,-0.35962,-0.36073,-0.04004,-0.29279,-0.53781,-0.47116,-0.56841,-0.65456,-0.47717,-0.30228,-0.74044,-0.62391,-0.3146,-0.49116,-0.3078,-0.16276,-0.35297,-0.35322,-0.523,-0.39252,-0.43813,-0.69821,-0.18409,-0.84733,-0.2291,-0.39122,-0.53404,-0.2308,-0.53199,-0.41877,-0.5102,-0.43121,-0.56592,-0.57515,-0.36469,-0.23822,-0.76767,-0.56185,-0.4037,-0.78208,-0.54531,-0.80332,-0.07791,0.53911,-0.33404,-0.73898,-0.38834,-0.50463,0.92186,-0.7152,-0.49133,-0.57136,-0.46176,-0.60352,-0.76064,0.08526,-0.3231,-0.41073,-0.79699,-0.79056,-0.74235,-0.13543,-0.37675,0.59207,after Th
-0.35181,-0.23154,-0.4368,-0.00938,-0.28144,0.04213,-0.34749,-0.65181,-0.02604,0.15385,-0.34699,-0.36926,-0.37345,-0.04949,-0.11075,-0.63312,-0.36623,-0.56114,0.00917,-0.03353,0.52799,-0.51038,-0.53994,-0.42488,-0.68311,-0.18927,0.17743,-0.25487,-0.11949,-0.43688,-0.28695,0.10226,-0.41336,-0.14965,-0.61372,-0.28308,-0.10455,-0.48873,-0.19438,-0.45187,-0.52972,-0.16435,-0.5745,-0.45054,-0.50522,-0.22855,-0.44069,-0.32686,-0.51152,-0.02002,-0.81267,-0.59077,0.33087,-0.40007,-0.67358,-0.46067,-0.33078,-0.59257,-0.0337,-0.43731,-0.52766,-0.3589,-0.29336,-0.8098,-0.49263,0.58298,-0.78544,-0.16917,-0.4218,-0.43256,-0.33368,-0.48349,-0.77304,-0.6989,-0.34094,-0.63364,-0.38211,-0.48427,-0.65081,-0.7271,-0.44164,-0.02037,-0.38105,-0.48234,0.13297,-0.53092,0.29396,-0.54457,-0.4577,-0.45608,-0.41114,-0.76521,-0.65012,0.27866,-0.59919,-0.34304,-0.03183,-0.52968,-0.40947,-0.49695,after Th
-0.30509,-0.65088,0.04062,2.1973,2.08677,6.76039,-0.2938,1.35205,-0.36809,3.14827,0.08582,3.64009,-0.52135,-0.27851,6.08462,-0.54144,0.23784,-0.49144,0.02912,5.7246,-0.4478,0.13447,-0.20635,1.73222,-0.54636,0.65274,-0.49487,-0.70495,1.2675,1.61987,-0.72996,-0.29489,3.04142,5.63292,0.77895,-0.57659,6.0219,-0.14379,0.07422,0.80916,-0.5134,-0.56377,-0.87453,-0.11451,0.55266,2.04704,2.51854,-0.20989,-0.41862,3.96224,-0.66141,-0.5721,6.28565,-0.17454,3.86076,-0.62709,-0.38343,0.17545,-0.25136,1.10314,-0.44411,-0.05385,2.56327,0.087,0.18659,0.02512,-0.69193,6.97937,2.61763,2.81307,-0.11425,-0.22523,0.58857,0.54554,4.48394,1.96201,2.24923,3.74709,2.34114,-0.74755,0.12221,1.48721,6.67562,1.96371,0.85388,1.91762,5.56098,0.65856,-0.40589,0.89481,0.67252,-0.59565,0.46017,-0.42699,3.14531,2.84074,3.52525,-0.51991,-0.43577,-0.742,after Th
-0.35309,-0.32085,-0.68843,-0.89774,-0.81682,-0.35512,0.79976,-0.74081,-0.46547,-0.57527,-0.25605,-0.48668,-0.69559,-0.74241,-0.47885,-0.30895,-0.83516,-0.55985,-0.29278,-0.40705,-0.48189,0.09965,0.11168,-0.30287,-0.61639,-0.36544,-0.50796,-0.68787,-0.16669,-0.5646,-0.8092,-0.35172,-0.38127,-0.50689,-0.6135,-0.63367,-0.38554,-0.5124,0.13035,-0.40222,-0.35676,-0.60971,-0.7963,-0.6432,-0.66547,-0.34168,-0.68844,-0.24144,-0.5417,-0.46516,-0.49133,-0.53136,-0.34459,-0.47634,-0.81696,-0.42473,-0.17297,-0.80502,-0.69719,-0.61289,-0.532,-0.36878,-0.19561,-0.55392,-0.60171,-0.50674,-0.26989,-0.44659,-0.43077,-0.5958,-0.71636,-0.21559,-0.73819,-0.61247,-0.19582,-0.54133,-0.5428,-0.8123,-0.54882,-0.69799,-0.32392,-0.79188,-0.36339,-0.56654,-0.75982,-0.5749,-0.46834,-0.4356,-0.4636,-0.72565,-0.40821,-0.42255,-0.81336,-0.43863,-0.43888,-0.70654,-0.90614,-0.53092,-0.48628,-0.80917,after Th
-0.28155,-0.30425,-0.52615,-0.77172,-0.87404,-0.2929,-0.01928,-0.92157,-0.10629,-0.52997,-0.26162,-0.29735,-0.68927,0.08807,-0.40458,-0.44142,-0.21753,0.08452,-0.21043,-0.33725,-0.03421,-0.16568,-0.54581,-0.75967,0.19237,-0.39706,-0.47773,-0.34739,-0.33314,-0.52091,-0.51431,-0.37465,-0.37674,-0.38849,-0.70767,-0.3935,-0.36029,-0.42781,-0.22959,-0.69814,-0.68874,-0.65914,-0.94885,-0.17283,-0.41075,-0.26096,-0.63329,-0.3356,-0.51183,-0.37631,0.37855,-0.42215,-0.3329,-0.63514,-0.27646,-0.42715,-0.38601,-0.66305,-0.46505,-0.82151,-0.52621,-0.51716,-0.49156,-0.54218,-0.59407,-0.39508,-0.41117,-0.34057,-0.85569,-0.54179,-0.66412,-0.6379,-0.38261,-0.72806,-0.42684,-0.40558,-0.49953,-0.43902,-0.68006,-0.52755,-0.44655,-0.57389,-0.26198,-0.74164,-0.65521,-0.75014,-0.47365,-0.49134,-0.44678,-0.47002,-0.27282,-0.06654,-0.44796,-0.34801,0.25072,-0.53608,-0.68983,-0.27054,-0.39926,-0.57808,after Th
2.47228,3.21794,2.42275,-0.54646,1.52318,-0.31095,0.04389,3.44671,-0.20902,-0.44248,-0.31626,0.24431,-0.44443,1.58929,-0.26559,-0.43363,2.09313,1.15528,-0.10252,-0.41121,-0.66374,2.82473,0.13437,1.28142,3.39921,-0.17932,0.22362,0.23777,-0.11912,1.05484,1.19073,0.14097,-0.0764,-0.21188,0.87121,0.87018,-0.30957,-0.07027,0.77512,0.23728,0.4665,-0.52468,1.4565,-0.10666,-0.00769,-0.26497,0.914,-0.14509,-0.26173,-0.2659,3.65806,1.54883,-0.3341,3.84337,0.72765,1.89612,-0.18352,1.7786,-0.14253,0.15898,0.39443,1.60065,-0.34499,2.62064,0.3655,-0.58106,1.04113,-0.36155,2.12382,-0.00925,0.11595,0.01558,1.79036,0.18019,-0.35034,0.52483,0.01881,1.59403,1.58592,0.55505,-0.20549,-0.355,-0.37616,0.17708,-0.67729,0.77667,-0.00163,-0.0817,-0.15774,-0.73003,0.89821,2.73094,1.68593,0.27578,1.84093,0.12608,-0.18836,-0.52152,0.29536,2.16001,after Th
-0.3527,-0.2949,-0.33601,-0.20094,-0.53452,-0.35592,-0.41366,-0.48865,-0.37337,-0.32465,-0.34766,-0.35743,-0.48875,-0.38827,-0.46774,-0.39368,-0.54633,-0.5694,-0.32124,-0.40379,-0.49187,-0.10785,-0.24793,-0.4655,-0.65075,-0.30154,1.28711,-0.51663,-0.34842,-0.56865,0.19147,-0.45475,-0.3855,-0.48897,-0.54884,-0.65301,-0.3399,-0.47599,-0.50743,-0.59604,-0.67242,-0.64014,-0.48163,-0.6432,-0.67236,-0.21649,-0.68186,-0.5761,-0.44637,-0.44896,-0.22995,-0.45062,-0.36015,-0.42513,-0.68079,-0.2482,-0.42902,-0.39507,-0.4885,-0.32354,-0.06598,-0.12117,-0.49726,-0.71607,-0.64231,-0.47821,-0.26792,-0.43443,-0.51212,-0.61363,-0.68677,-0.5556,-0.56199,-0.52936,-0.32381,-0.85685,-0.51656,-0.65273,-0.09499,0.2582,-0.44377,-0.79379,-0.39123,-0.81992,-0.02507,-0.75532,-0.52016,-0.65542,-0.40982,-0.63676,-0.77669,0.15221,-0.42563,1.14697,-0.76103,-0.68312,-0.59317,-0.22005,-0.547,-0.02114,after Th
-0.34764,1.15412,0.32401,0.74908,1.20947,-0.29509,-0.3931,-0.25233,0.13614,0.50849,-0.32183,1.21542,0.73251,2.09221,-0.34676,4.35538,0.81971,-0.53894,-0.12486,-0.36885,0.59561,1.25045,-0.17509,0.56674,-0.20264,-0.12281,-0.39137,4.00366,-0.32084,0.51439,0.08765,1.94791,-0.19758,-0.29462,5.54453,1.21157,-0.33737,2.22708,0.77749,2.35253,2.01733,2.36556,1.94646,0.66465,1.05395,0.16662,-0.51648,0.06338,0.73725,-0.34237,-0.03598,-0.5761,-0.28016,0.71533,0.18122,0.41385,-0.23452,0.57983,4.23303,0.65613,0.98359,0.03857,-0.0143,1.97741,0.88279,5.93955,0.46219,-0.17545,0.24413,-0.42637,1.3298,3.46327,2.02971,1.03162,-0.46883,0.86649,0.92152,-0.52142,2.1871,1.32942,-0.3831,1.44209,-0.32117,1.21541,2.76365,0.28776,-0.47097,1.64123,-0.33676,1.27319,-0.41076,-0.38083,1.93956,-0.24726,-0.27081,2.38402,0.70292,5.54976,-0.11513,0.58511,after Th
-0.35258,-0.72269,-0.80101,-0.13388,-0.48171,-0.35748,-0.40034,-0.31737,-0.47204,-0.64978,-0.31597,-0.53214,-0.6895,-0.76875,-0.43874,-0.45034,-0.7464,-0.56906,-0.34152,-0.40569,-0.67381,-0.73782,-0.57104,-0.81183,-0.53868,-0.24296,1.60012,-0.75523,-0.34159,-0.69565,-0.09144,-0.06345,-0.36059,-0.46506,-0.51729,-0.55712,-0.37292,-0.5096,-0.9877,-0.42405,-0.78694,-0.30374,-0.59101,-0.61095,-0.58088,-0.34671,-0.66765,-0.62319,-0.37949,-0.48104,-0.72832,-0.57009,-0.35332,-0.69724,-0.5081,-0.7513,-0.48055,-0.91153,-0.62441,-0.51195,-0.47178,-0.8564,-0.54623,-0.71335,-0.66806,-0.58932,-0.14887,-0.44078,-0.27593,-0.51766,-0.52297,-0.50715,-0.65068,-0.7001,-0.21985,-0.585,-0.41383,-0.81128,-0.65097,-0.37533,-0.37683,-0.43647,-0.39203,-0.71436,-0.84901,-0.61887,-0.22947,-0.6294,-0.45623,-0.37742,-0.726,-0.6032,-0.66182,1.4442,-0.67895,-0.7177,-0.41209,-0.32574,-0.11683,-0.91613,after Th
-0.34635,-0.7374,-0.51839,-0.22501,-0.39308,-0.34227,-0.39801,-0.74113,-0.13757,-0.63939,-0.34228,-0.49882,-0.47481,-0.52851,-0.36374,-0.61226,-0.49024,-0.57061,-0.29055,-0.37916,-0.52719,-0.4987,-0.51597,-0.63243,-0.6308,-0.47605,-0.41179,-0.48353,-0.33886,-0.49179,-0.81943,-0.46797,-0.35671,-0.42462,-0.73443,-0.31122,-0.36181,-0.49153,-0.84924,-0.2884,-0.53321,-0.15208,-0.36182,-0.66208,-0.31551,-0.31524,-0.67843,-0.58241,0.63558,-0.45061,-0.73256,-0.55738,-0.32349,-0.36548,-0.81199,-0.8222,-0.39126,-0.39815,-0.48298,-0.86475,-0.06291,-0.7354,-0.50691,-0.68225,-0.79322,-0.45737,-0.58729,-0.38927,-0.07582,-0.48147,0.3797,0.26417,-0.71946,-0.52982,0.54009,-0.43706,-0.58553,-0.57622,-0.66773,-0.63052,-0.45306,-0.71679,-0.39553,0.09132,-0.60655,-0.65811,-0.52231,-0.13123,-0.21287,-0.72113,-0.51062,-0.7919,-0.69869,-0.33098,-0.50588,-0.64241,-0.70489,0.14392,-0.11305,-0.9232,after Th
-0.35274,-0.67336,-0.8839,0.10971,-0.61455,-0.0917,-0.36305,-1.03077,-0.14834,0.5274,-0.20112,-0.25809,-0.59971,-0.71778,-0.23172,-0.62687,-0.30432,-0.56329,-0.17747,-0.15402,0.96278,-0.87512,-0.3468,-0.85584,-0.66761,0.01587,-0.21148,0.38799,-0.34271,-0.4271,0.7698,1.59555,-0.40235,-0.27123,-0.47804,-0.56246,-0.35042,-0.09674,-0.17169,-0.24474,-0.80772,-0.21739,-0.65983,-0.30617,-0.56647,-0.24543,0.55365,0.46285,-0.50974,-0.19021,-0.82849,-0.58554,-0.22946,-0.48751,-0.75961,-0.57257,0.05887,-0.81088,-0.56939,-0.20994,-0.29149,-0.54908,-0.3286,-0.83818,-0.56415,1.26175,-0.18833,-0.22281,-0.89112,-0.6083,-0.38012,-0.38571,-0.94084,-0.40788,-0.18245,-0.7878,-0.41542,-0.812,-0.70068,-0.71075,-0.39642,-0.12979,-0.39593,-0.36056,0.48809,-0.05799,-0.49116,-0.35656,-0.41105,-0.78836,-0.62308,-0.7204,-0.58862,-0.17416,-0.39415,-0.04063,-0.09261,-0.4763,-0.30335,-0.36655,after Th
-0.33991,-0.72307,-0.62142,-0.44522,-0.38947,-0.33408,0.09641,-0.77633,0.20244,-0.63398,-0.33162,-0.52743,-0.69658,-0.74241,-0.45003,-0.63453,-0.39513,-0.56545,-0.31152,-0.36985,-0.47747,-0.86413,5.39065,-0.48196,-0.61499,-0.48014,-0.50808,-0.30663,-0.31128,-0.18576,-0.57108,-0.30752,-0.38729,-0.45946,-0.71816,-0.11785,-0.36874,-0.48705,-0.6724,-0.70067,-0.78024,-0.10662,-0.58884,-0.39239,-0.21024,-0.31963,0.33236,-0.58678,-0.44011,-0.4443,-0.81982,-0.41992,-0.33014,-0.53,-0.56913,-0.67897,0.29344,-0.70627,-0.68029,-0.89763,-0.45496,-0.79803,-0.38927,-0.57077,-0.59351,-0.50573,-0.7854,-0.40574,-0.73519,-0.5419,-0.60324,-0.4282,-0.53621,-0.4863,-0.43847,-0.77175,-0.46117,-0.80189,-0.7097,-0.78329,6.37904,-0.34343,-0.36977,-0.78156,-0.75293,-0.77196,-0.45632,-0.50341,3.10013,-0.51895,-0.73899,-0.79677,-0.71948,-0.42046,-0.70665,-0.74563,-0.66829,-0.3748,-0.23374,-0.80953,after Th
-0.34569,3.82435,1.30262,1.38904,1.83949,-0.36594,2.74209,1.32836,-0.4115,2.01536,0.35481,-0.47324,1.59667,2.28611,0.08533,1.43144,1.05983,-0.11263,0.02456,-0.38163,0.19952,1.66798,2.75592,1.75253,-0.49601,2.63608,-0.16158,1.1441,-0.21861,1.11475,2.36775,-0.37932,-0.21528,-0.01532,-0.18048,0.3737,-0.21285,0.1835,0.18702,0.24713,0.51337,0.04877,1.39029,-0.56617,0.10777,-0.31039,1.36058,-0.24459,3.40598,-0.27358,2.30481,-0.48433,-0.29226,0.61482,0.74415,0.85276,-0.40417,0.68209,0.42179,-0.36152,-0.09691,2.10042,-0.34367,1.80457,-0.32598,1.38849,1.43889,-0.25941,2.19423,-0.12815,0.40986,3.71507,1.43352,0.59329,-0.2138,1.2349,0.08356,0.86295,-0.31502,-0.46898,0.15606,-0.63278,0.06122,0.80454,1.14073,0.62546,-0.46484,0.24947,-0.4065,1.07132,2.2412,-0.71165,0.52802,-0.32781,-0.78626,0.8661,0.01708,-0.11244,-0.48363,1.41069,after Th
-0.35171,-0.70089,-0.91906,-0.28808,-0.66837,-0.24936,-0.41258,-0.77606,-0.28459,-0.5892,-0.33892,-0.47386,-0.05968,-0.78046,-0.48828,0.91436,-0.67025,-0.23973,-0.31656,-0.3972,-0.54216,-0.86195,-0.56025,-0.65644,-0.55777,-0.56268,-0.4189,0.02629,-0.32171,-0.62523,-0.60505,-0.46715,-0.27774,-0.5179,-0.39471,-0.58353,-0.38314,-0.38958,-0.81914,-0.57394,-0.59737,-0.23326,-0.34226,-0.66626,-0.52621,-0.19204,-0.59942,-0.60377,-0.53434,-0.47697,-0.5967,-0.59145,-0.34757,-0.65775,-0.41759,-0.42825,0.37984,-0.75931,-0.22738,-0.18035,-0.51012,-0.62681,-0.46465,-0.93512,-0.65895,-0.09725,-0.52,-0.42777,-0.86837,-0.04197,-0.64727,-0.03622,-0.49313,-0.68409,-0.49223,-0.73443,-0.46093,-0.79773,-0.65532,-0.58172,-0.43832,-0.39583,-0.39603,-0.80121,0.04384,-0.49268,-0.50656,-0.40442,-0.4512,-0.8414,-0.77873,-0.36342,-0.26823,-0.37528,-0.79554,-0.82927,-0.81998,-0.32652,-0.43161,-0.77169,after Th
0.43533,-0.65367,0.30867,-0.28479,0.00926,-0.32102,-0.40842,-0.34239,-0.1996,-0.44601,-0.29475,-0.52737,-0.67991,-0.78509,-0.42646,-0.59372,-0.53749,-0.15041,-0.28577,-0.36526,-0.34403,-0.85062,-0.46646,-0.52735,0.24915,-0.45806,-0.39057,-0.41294,-0.32209,-0.43259,-0.182,-0.28495,-0.34928,-0.43347,-0.78239,-0.50111,-0.36862,-0.37249,0.60862,-0.67191,-0.65791,-0.64291,-0.47932,-0.50117,-0.39979,-0.29685,-0.49339,-0.23076,-0.53301,-0.39693,-0.5082,0.17415,-0.32576,-0.48751,-0.53645,-0.59192,-0.41424,-0.45397,-0.75617,-0.65333,-0.47269,-0.55242,-0.43173,-0.69587,-0.6865,-0.41369,-0.57842,-0.32655,-0.49747,-0.05577,-0.71919,-0.51602,-0.64463,-0.7749,-0.42247,-0.56223,-0.542,-0.55185,-0.66241,-0.75839,-0.3876,-0.3305,-0.38016,-0.60879,-0.70168,-0.64841,-0.3838,-0.47418,-0.39926,-0.73563,-0.44197,-0.54191,-0.65997,-0.32304,-0.34767,-0.7438,-0.59253,0.52662,-0.45544,-0.75867,after Th
0.60754,-0.31836,0.78523,-0.32895,0.4178,0.07139,-0.23728,0.35012,0.73302,-0.60738,-0.15349,-0.21734,-0.17521,2.01904,-0.20746,-0.11113,1.3069,3.08804,-0.26038,-0.36069,0.01363,-0.5657,-0.43678,-0.2584,4.11604,-0.23286,-0.06378,-0.51031,-0.13365,0.8493,1.64116,0.04636,0.53365,-0.22102,0.31978,0.29355,-0.28919,-0.39574,1.69815,0.36614,2.68632,0.68838,0.5858,2.75016,3.59894,-0.17517,0.09693,3.70858,-0.52466,-0.19494,0.64634,5.62907,-0.22058,-0.36167,0.08078,1.52085,0.65764,1.3666,-0.19237,2.70918,-0.04266,-0.35142,0.69713,0.94271,1.07363,-0.12871,-0.08862,-0.06528,-0.24466,3.62774,-0.25157,0.5239,1.67522,0.33839,-0.3531,0.94649,0.22835,-0.634,1.91809,-0.62966,0.65499,1.62836,-0.31957,1.68584,-0.47496,-0.17316,-0.40585,0.84629,1.04482,0.02339,2.11103,0.92893,-0.3916,-0.2564,0.94323,0.10105,-0.14463,-0.50591,-0.38015,0.3419,after Th
-0.35343,-0.39493,-0.46681,-0.34034,-0.65496,-0.37888,-0.38461,-0.29119,-0.47813,-0.78122,-0.30214,-0.3438,-0.71661,-0.79509,-0.48398,-0.11409,-0.467,-0.57199,-0.33712,-0.39642,-0.58755,-0.16775,-0.50709,-0.09162,-0.4666,-0.40843,-0.31987,-0.17458,-0.33327,-0.70782,0.05777,-0.13011,-0.40342,-0.49519,0.8874,-0.16573,-0.37324,-0.52416,-0.1394,-0.55956,-0.79098,-0.1332,-0.67345,-0.53124,-0.66719,-0.3346,-0.58164,-0.6659,-0.46926,-0.47516,-0.56568,-0.11376,-0.35175,-0.50984,-0.67951,-0.37768,-0.47182,-0.77352,-0.69167,-0.24183,-0.46545,-0.07696,-0.54207,-0.56203,-0.63489,-0.47879,-0.22119,-0.43214,-0.87843,-0.60765,-0.55978,-0.57853,-0.85408,-0.73002,-0.49204,-0.65492,-0.59917,-0.81533,-0.39816,0.55824,-0.34801,-0.79555,-0.29901,-0.58805,-0.01481,-0.81969,-0.52039,-0.56096,-0.42246,-0.48268,-0.78548,-0.24702,-0.55344,-0.21302,-0.1854,-0.55925,-0.83437,0.18504,-0.51957,-0.65434,after Th
-0.35308,0.10747,-0.6799,-0.54306,-0.35466,1.68293,-0.35023,-0.6772,-0.38827,0.13639,-0.33815,0.12961,0.01891,-0.70192,0.33954,-0.60499,-0.25098,-0.46958,-0.08131,0.30667,-0.62965,-0.33723,-0.00242,-0.13747,-0.69193,-0.20323,-0.51869,-0.74505,-0.31153,-0.07547,-0.67033,-0.1342,0.05126,0.32626,-0.56638,-0.67661,0.07133,-0.04324,0.47423,-0.70706,-0.49569,-0.6411,-0.91336,-0.55982,-0.53373,1.55022,1.64003,0.30365,-0.56843,0.13403,-0.85725,-0.58329,-0.11705,-0.65911,-0.19956,-0.84506,0.61683,-0.29193,-0.26274,-0.40706,-0.549,-0.38294,1.54949,-0.74774,-0.38895,-0.54448,-0.70492,1.33923,-0.39796,-0.49212,-0.69314,-0.67671,-0.55972,-0.66429,0.87494,-0.72932,-0.54802,-0.60234,-0.7147,-0.72948,-0.28622,0.76796,-0.38594,-0.77891,-0.03064,-0.40649,-0.45043,-0.38998,-0.45734,-0.44384,-0.53202,-0.78218,-0.19658,-0.41351,-0.35166,0.53965,-0.27004,-0.50116,-0.16545,-0.77908,after Th
-0.20866,-0.10745,-0.55965,-0.31709,-0.45069,-0.29816,-0.40617,-0.37881,-0.19981,-0.39977,-0.34027,-0.42586,-0.7061,-0.36949,-0.37496,-0.545,-0.67462,-0.19886,-0.23877,-0.32551,-0.12696,-0.39483,-0.41774,-0.59135,0.29117,-0.31577,-0.42703,-0.10238,-0.29675,-0.58727,-0.28459,0.03537,-0.38859,-0.41807,-0.59727,-0.47418,-0.38064,-0.24785,0.15796,-0.50139,-0.69683,-0.60273,-0.55929,-0.53325,-0.36376,-0.28526,-0.03968,-0.52344,-0.55162,-0.39399,-0.23275,-0.4281,-0.31874,-0.38754,-0.5552,-0.57378,-0.4069,-0.52357,-0.75376,-0.37927,-0.56112,-0.54775,-0.46987,-0.61466,-0.71675,0.42849,-0.50543,-0.35343,-0.54186,-0.54396,-0.68847,-0.58251,-0.76935,-0.63861,-0.40576,-0.69386,-0.3309,-0.41321,-0.63083,-0.53049,-0.42033,-0.5103,-0.31148,-0.63437,-0.37207,-0.28338,-0.39559,-0.49427,-0.46335,-0.92346,-0.41165,-0.33637,-0.45091,-0.37821,0.07026,-0.55285,-0.57313,-0.53194,-0.43671,-0.63901,after Th
3.76803,-0.21773,0.85588,2.92781,-0.65176,0.06411,0.07652,0.74679,0.12707,1.11666,0.68458,0.07914,0.95329,0.9027,0.35807,-0.00399,1.05829,1.54287,0.11848,-0.05744,2.31827,0.48066,-0.19207,0.70906,2.18323,0.37529,0.17857,0.57183,-0.28954,-0.14923,1.16577,0.37252,0.18017,0.32164,1.03483,0.31929,-0.20945,1.06986,2.06149,-0.329,1.81563,0.59348,1.52589,-0.05553,0.65167,-0.09877,-0.09077,-0.38729,-0.27856,0.19042,3.16806,0.17051,-0.26688,2.75085,2.52377,1.42808,0.04725,0.79681,-0.32224,2.14248,-0.315,-0.39523,0.05542,1.48222,-0.05856,0.30446,0.2747,0.08933,2.34054,-0.12315,0.10024,0.49433,1.3445,0.58135,-0.04513,0.37665,0.83437,1.11653,2.12555,0.85018,-0.17028,1.08799,0.11182,1.21853,0.80683,-0.35392,-0.15152,-0.02812,-0.39066,0.581,1.3249,2.01485,1.08164,0.17186,2.04866,1.17494,0.54326,-0.51427,0.26661,0.7754,after Th
-0.3108,-0.06913,3.51672,0.08328,-0.28924,-0.13367,4.66702,0.66733,0.72936,0.86094,-0.0927,-0.35322,-0.11984,2.33928,-0.14983,1.29372,3.27976,-0.51037,-0.29801,-0.25221,-0.53397,0.39763,-0.15081,0.72429,-0.34528,0.10317,0.13417,-0.43515,-0.14359,1.18112,-0.08093,-0.28121,0.0831,0.08273,0.31456,0.15073,-0.2536,2.16714,1.01374,-0.26843,1.17399,5.08777,1.0749,2.54447,1.74996,-0.27232,-0.13633,0.59366,0.2982,-0.1275,0.19187,-0.51531,-0.20728,0.59031,0.89954,0.21292,-0.07885,2.50604,3.54142,1.45085,0.44886,1.12305,-0.34304,2.82075,1.69752,-0.43082,0.48083,-0.12832,1.3645,-0.33779,3.20139,2.01198,0.68188,3.66283,5.11334,2.20923,-0.08808,2.13592,-0.02595,0.15175,-0.03072,1.81802,-0.29292,2.2896,0.23515,-0.19763,-0.34914,0.9434,0.87525,0.05991,0.47433,-0.67029,-0.54305,0.15939,0.08693,1.16444,1.37495,1.31295,1.12845,2.0585,after Th
