U58522_at,S77576_at,U71300_at,X65550_at,D87466_at,U79249_at,D31884_at,D11139_at,D30742_at,X15187_at,X65724_at,U44975_at,D87460_at,L75847_at,U33818_at,M16342_at,M55040_at,AJ000480_at,U47105_at,U38175_at,M28879_at,X79204_at,U67674_at,L77567_s_at,Y09858_at,M73047_at,U04898_at,U20158_at,D88422_at,U75308_at,U73824_at,M61855_at,L14542_at,D87685_at,X14813_at,S58544_at,U77948_at,AB000381_s_at,X06700_s_at,D13644_at,L07590_at,U70426_at,D87469_at,X52851_rna1_at,L32164_at,AC002073_cds1_at,X99459_at,U12387_s_at,U83192_at,U57629_at,U30521_at,U43083_at,U72515_at,HG2788-HT2896_at,U72066_at,D14661_at,U87408_at,U78793_at,M28170_at,X58521_at,U09279_at,AF000560_at,M19267_s_at,U09564_at,U66061_cds3_at,U62389_at,X78338_at,M94250_at,U03397_s_at,U76366_s_at,S80437_s_at,U40990_at,X13334_at,D25538_at,D86976_at,D26561_cds1_at,D63480_at,U03105_at,HG2797-HT2906_s_at,Y10505_at,HG3638-HT3993_s_at,D25274_at,U40391_rna1_at,Y10512_at,M55131_at,U41767_s_at,X86019_at,X93920_at,X69910_at,S71043_rna1_s_at,U41668_at,D63390_at,U11287_at,L15326_s_at,S77582_at,M74587_rna1_s_at,X66533_at,U62317_rna3_at,U19345_at,U29607_at,class
0.9665,0.432,0.55,-0.943,1.2576,1.1486,-0.4714,0.8427,0.0118,-0.7623,-0.2439,-0.1432,0.219,-0.683,-0.5853,0.0534,0.4092,-0.0084,0.352,-0.4226,-0.2948,0.5002,1.4423,0.089,-0.4085,-0.4213,0.1553,-0.0712,-0.4198,1.166,0.5389,0.6858,-1.207,-0.4207,-0.652,0.7499,0.3473,-0.2819,1.1867,0.4409,0.8953,0.5925,-0.156,0.8724,-0.1357,0.0274,-0.229,0.3925,1.2025,-0.9861,0.4713,0.2201,-0.0634,-0.3633,0.4043,-0.0893,1.4934,1.1134,1.432,2.1228,0.2977,0.9099,0.1467,-0.382,0.1308,0.6479,0.5153,1.3385,-0.3396,-0.0805,-0.9861,1.7676,-0.3665,-0.7644,0.1349,-1.9668,-0.1041,-0.2275,-0.4216,0.0797,1.4817,0.3721,1.2141,-0.224,2.3367,0.008,0.3201,0.0029,0.4961,0.1302,-0.0251,-0.8001,-0.2122,-0.7976,1.1217,1.3348,0.9904,-0.0747,0.0812,0.7506,ALL
-0.128,-0.5329,-0.7502,-1.2231,-0.4993,-0.4404,3.1771,-1.1176,1.0437,-0.4651,-1.408,2.5504,0.8547,1.0468,-0.6473,0.9369,-0.4634,-0.2649,-1.4998,1.0366,0.5488,-0.0335,0.8759,-0.8376,1.3291,-0.1942,3.9631,1.3232,-0.222,-0.8165,2.5292,-0.1918,0.5822,-0.0309,0.8244,1.2501,0.5739,-0.6859,0.2284,-1.0946,-0.4651,-0.3125,0.5409,1.3107,-0.6827,0.4543,0.1142,0.29,1.0797,-0.6283,-0.4834,-0.2716,-0.749,0.1279,0.2589,1.0749,-0.7864,0.2369,-0.8723,1.5216,0.3289,-1.0924,0.4633,-0.6287,-0.5635,0.1209,1.5144,-0.3458,0.0304,-0.4372,0.4584,-0.9381,0.3253,-0.0191,-0.0864,0.48,-0.204,1.4919,-0.0163,0.046,-0.6302,-0.64,-0.0177,0.0202,-0.852,-0.6104,0.9841,-0.4331,1.0729,-0.2393,-0.3007,0.1113,0.8682,-0.9576,-0.7976,-0.2785,0.705,-1.0618,-0.8931,0.6605,ALL
0.2945,1.7352,1.8699,-0.2758,0.2928,-1.2803,-0.2805,-1.2562,2.1572,-0.0879,1.9222,-0.584,0.6843,-1.4544,-0.5204,0.6207,0.7191,0.2622,1.0722,-0.1044,1.8601,1.0191,0.7558,-1.4181,0.4146,-0.0451,-0.137,1.4866,-0.3985,-0.8744,1.7034,1.2677,-0.8142,0.3692,-1.0753,0.8214,0.4606,-0.6282,0.3293,-0.0198,-0.2682,1.177,0.1812,3.0239,3.4444,-0.6895,0.4382,1.9025,0.9432,1.3997,0.7007,3.011,0.0514,-0.3479,2.2243,0.2527,2.9152,1.2135,0.301,2.8278,0.4224,0.5868,0.0172,1.1796,-0.1981,-0.6168,1.6067,-0.3547,0.7588,2.5933,1.6164,2.4663,-0.9036,-0.0552,0.8135,-0.6299,-0.2577,-0.4192,-0.7987,0.3941,-0.7248,0.1416,1.8317,-1.0868,3.3091,0.2127,2.1129,-0.9553,-0.6934,-0.3532,-0.2827,4.1253,-1.731,-0.5288,0.5944,1.0807,1.8986,-0.4146,2.8017,1.4106,ALL
0.1793,-0.4393,1.0819,1.0052,0.7392,1.3529,-0.6593,0.8823,2.472,-0.3484,0.5371,-0.9008,0.3818,0.6727,-0.5027,-0.0374,1.135,0.2043,-1.2883,-0.7627,0.4235,-0.4635,-0.2224,-0.054,0.8801,0.9983,-0.3898,-0.551,-0.4564,0.9634,-0.6368,0.1802,-1.3161,0.1333,0.4186,-0.3456,1.3907,-0.1087,-0.8308,0.9235,-1.0558,-0.0071,0.5746,0.6138,-1.2197,-1.2478,-0.0783,-0.2319,-1.4444,-1.0657,0.5697,-0.2914,-1.4404,-0.3617,1.1813,-0.3985,0.1415,0.1321,1.2523,1.4783,-0.4821,0.3834,0.1899,-0.0664,0.1186,1.7808,-0.1641,-0.6262,-0.2124,0.5855,-0.8134,-0.9959,-0.3346,-0.3677,-0.1878,-0.4533,0.5719,-0.4134,0.1388,-0.0101,0.1199,0.631,1.2433,1.0783,-0.0198,0.3559,0.1541,-0.6802,0.0087,-0.4218,0.2146,-1.6727,-1.3082,-0.004,-0.0594,-0.4001,0.1147,1.4067,0.2645,0.5635,ALL
0.7553,-0.6913,0.8258,0.2247,0.1776,-0.0999,-1.1635,-0.2464,-1.2708,0.8773,-1.1869,0.3569,-0.3267,-0.1688,1.3736,1.2258,-0.3574,-0.467,-0.4596,0.7514,-0.7709,0.2037,-0.1595,0.1691,-0.4002,1.5875,-0.374,-0.2584,-0.3383,0.9489,1.5571,-1.2221,0.3422,0.1333,1.2722,-0.7029,1.0563,0.1222,-0.898,-0.0636,0.1972,0.5699,-0.5662,1.6398,-0.1755,0.1533,-0.4664,-0.437,0.4316,0.1935,0.9008,0.4137,0.5591,-0.2922,0.3334,0.1217,-0.3474,-1.0493,0.6604,1.3096,-0.7941,-0.0314,-0.4144,1.4507,0.2709,2.2989,-0.2256,-0.527,-0.0505,-1.0861,1.2828,-1.036,0.1025,0.4137,0.5895,-0.0497,0.3568,-0.2682,0.96,-0.6051,0.0762,0.9879,-0.5906,-0.338,-0.5804,-1.0447,-0.3771,-0.6397,-0.0226,-0.3682,1.0295,-0.2184,0.3828,-0.452,0.1304,-0.2122,-0.0799,-0.3744,-0.6809,-0.6308,ALL
0.4097,-0.5545,-0.3562,-0.4783,-0.1033,-1.4619,-0.4117,-0.286,1.9007,-1.026,-0.1555,-0.3009,-0.587,-0.5428,-0.9511,-0.2326,-0.2922,-0.2597,-0.671,-0.3952,-0.0944,-0.1521,0.5613,0.4236,-0.1674,-0.8472,0.0842,0.4085,-0.4017,0.7463,-0.3611,-1.3461,-0.4651,-0.9439,-0.9459,-0.0836,-0.4256,-0.1664,0.178,0.4848,-0.0892,0.0042,-1.0101,0.722,2.1715,-0.3064,0.4093,-0.698,0.186,-1.1187,0.132,1.1885,-1.3515,-0.4722,0.2695,-0.5804,-0.7914,0.5037,-0.2751,1.9498,-0.8564,0.2039,1.1539,-0.119,-0.5757,-1.0032,0.5983,-0.4733,0.6663,1.4756,1.1022,0.4192,-0.0757,-0.7123,-0.3758,-0.2767,-0.7263,-1.186,1.0446,-0.2458,0.2801,-0.4584,0.3487,-0.5984,-0.5717,0.3764,-1.1407,-1.0452,-0.2551,-0.4054,0.9097,0.3246,-1.0421,0.0985,1.185,-1.6929,0.1991,-0.067,1.2196,0.2708,ALL
-0.8576,-0.2809,0.8652,-0.0494,-0.2113,-0.3042,0.1133,-1.0087,1.7258,-0.807,0.7434,-1.0621,0.5943,0.9532,-0.2313,-0.4005,1.2655,0.0356,-0.8025,-1.0425,0.3901,-1.1751,0.0579,-0.6174,0.2234,0.8422,-1.3457,-0.5984,-0.4689,-0.2811,-0.408,-0.0105,-0.7488,-0.7182,0.1317,0.7976,0.647,1.8923,1.2371,-0.7436,1.6649,1.5994,2.3391,-0.0522,-0.3645,-0.7881,0.7622,-0.6234,0.9091,0.22,0.0642,0.0016,-1.0474,-0.5738,0.3724,-0.7587,0.8099,0.4751,0.8136,0.6998,-0.5133,0.527,-1.0618,0.3017,0.1126,0.7093,-0.616,-0.6118,0.8744,1.1392,-0.5268,0.0276,-0.4436,0.606,0.3055,-0.1001,0.8408,-0.3495,0.8613,0.3267,-0.3462,-0.1221,1.6029,1.7295,2.2929,0.5378,0.7849,-0.698,-0.3222,-0.4384,-0.0191,-0.5577,-0.8072,0.4697,-0.8609,0.285,-0.3199,0.4505,0.9784,0.9721,ALL
-0.32,2.2104,0.0575,0.3856,0.336,0.5584,-0.6176,-3.0481,0.1867,-0.6201,1.0086,-0.2606,1.0442,1.3273,-0.8921,-0.4186,2.0402,-1.1348,-0.1338,-1.7885,0.9998,-0.3597,-0.4112,0.0862,0.4977,0.4802,-0.1133,-0.464,-0.4383,0.8476,1.464,0.9816,-0.116,-0.7387,-0.4946,1.4168,1.1349,1.5075,1.1027,0.1557,0.233,0.7698,2.8561,0.7752,0.6599,-0.2189,2.0325,-0.0082,-0.1278,0.0345,0.1524,0.672,0.6796,-0.5908,1.1387,-0.4531,1.1093,1.1373,0.5758,1.6427,1.1399,2.0388,-0.4576,-0.4305,-0.3199,0.1648,0.8565,0.404,0.4813,0.8097,-1.0096,0.2056,-1.3697,-0.6202,-0.8597,0.7071,-0.058,0.5712,-2.8499,2.5047,0.3092,-0.7647,2.1551,-0.0449,2.6608,0.7743,1.9801,-0.4762,1.0371,-0.027,-0.8879,1.0033,0.2888,0.0601,-0.6922,0.6386,0.7569,1.212,2.7149,1.2239,ALL
0.1793,0.0936,-0.4744,1.9466,0.4296,0.1044,1.1664,-0.2563,2.9559,0.0032,1.2591,-0.1044,-0.049,-1.1272,-0.131,2.0821,0.3032,0.0602,1.4094,2.5233,2.1107,0.0406,0.773,-0.1912,0.373,-0.2084,-0.2081,1.0517,-0.4356,1.8605,2.0799,0.7812,0.4295,-0.154,-0.8759,-0.0122,0.4423,0.6994,0.1612,-1.4017,0.1077,-0.1956,1.1534,2.1971,1.177,-0.3612,2.9274,0.5883,-0.155,0.4189,1.2455,1.0693,0.2235,1.0288,2.1143,0.9694,0.1814,0.2131,-0.5393,0.9679,0.3913,0.2677,1.0244,0.9976,0.6973,-0.4411,1.207,-0.487,1.2328,2.0396,2.0718,0.6907,-0.4008,0.1011,1.6362,0.5809,0.7179,-0.0823,0.3291,0.787,0.0835,1.561,0.9681,-0.3868,1.2242,0.44,-1.7218,-0.8425,1.2652,-0.1274,0.2685,0.3537,-0.9638,-0.6376,-1.0086,1.368,4.1235,0.5401,0.853,-0.3871,ALL
-0.5696,-0.3961,-0.5138,-0.2162,-0.6217,-0.9625,-0.2208,0.5655,-1.0084,0.5529,0.3455,0.2411,-0.2692,0.065,1.5152,1.7341,0.083,-0.6392,-0.1738,0.9159,1.3423,0.515,0.9789,0.5781,-0.4916,-0.7833,0.4871,-0.5721,-0.3684,-1.0191,-0.7376,0.0467,0.0804,-0.3489,0.2086,0.1069,-0.9537,0.5455,-0.3096,-0.5462,-0.8589,-0.1504,-0.5943,1.4891,-0.4042,-1.111,0.5408,-0.5209,0.0701,-0.1378,-0.4929,-0.644,-0.1437,-0.534,0.2802,0.4382,-0.1628,-0.087,-0.9515,-0.6108,-0.3574,-1.5113,-0.2274,0.0428,-0.0519,-0.4324,-0.9819,-0.2458,-0.8136,0.2797,0.533,0.3169,-0.1889,-0.508,-0.8851,1.3125,-0.7724,-0.7154,0.7027,-0.7735,-0.2661,-1.0079,0.1027,0.4923,-0.2213,-0.5808,0.6189,-0.9286,-0.9438,-0.4331,1.9883,0.1501,0.4298,0.0921,-0.5445,-0.1017,0.0628,-0.5706,-0.1213,-0.6187,ALL
-0.1664,-0.2089,-0.8093,0.9397,0.336,-1.53,1.0113,-0.0088,1.615,0.8917,-0.3028,1.102,-0.7728,-0.87,-0.4437,1.0352,-0.6021,-0.5145,-0.0252,-0.5652,0.3065,-0.1966,-0.5313,0.5266,-0.6662,-0.8969,0.7162,-0.203,-0.4773,-0.4837,1.4661,0.2184,0.3422,1.0258,0.1492,0.607,0.2194,-1.0707,0.1948,-0.1294,-0.2503,-0.9536,-0.1728,1.4151,0.8985,0.5036,0.6306,0.1316,-0.7622,-0.0053,-0.5384,0.3691,-0.2441,-0.3084,0.0673,0.6711,-0.3424,-0.0346,-0.7507,1.4221,-0.7317,-0.4064,-0.7453,-0.3375,-0.393,0.6566,1.1025,-0.5125,-1.4958,0.718,1.4594,0.4682,-0.169,-0.3316,-0.5851,-0.0245,-1.072,-0.2072,0.1071,-0.3469,0.8845,0.5931,-1.3682,0.8016,0.2868,-0.383,0.4197,-0.8615,-0.2194,-0.3718,0.0708,0.1598,-0.3688,0.2073,-0.2914,-0.5327,0.225,-1.1839,0.4382,-0.2796,ALL
-0.1088,-0.5833,-0.632,-0.9788,-0.9817,-0.0091,0.0447,-0.1771,-0.5304,-0.1087,-1.0101,0.7933,-0.5507,-0.5662,-1.2166,-0.6592,-0.9283,-0.7798,-0.4481,-0.642,0.3065,-0.5079,-1.1549,0.3721,-0.4168,-0.8543,0.6056,-0.5721,-0.3526,-0.831,-1.2835,-0.7451,-0.9233,-0.6054,-1.3937,0.1307,-1.2187,-0.9938,-0.0574,0.3531,0.8595,1.6258,-0.2965,-0.8786,-1.0606,-0.5472,-0.5498,-1.5275,-0.4961,-0.1113,-0.7182,-0.5745,-0.6974,-0.1699,-1.3056,-0.3585,-1.1656,-1.1779,-0.2222,-0.0182,-1.5427,-1.5073,-0.2417,-0.9038,-0.7036,-0.0898,-1.0218,-0.3637,-1.0333,-0.709,-0.4287,-0.0525,-0.0739,-0.4398,-0.9491,-0.5038,-0.9261,-1.183,0.4102,-1.3236,0.1636,-0.7679,-0.1054,-0.4519,-0.9046,-0.2921,-0.7423,-0.6967,0.201,-0.4538,-1.1216,-0.6741,0.649,0.0217,-0.7976,-0.2012,-0.5534,-0.9584,-0.922,-0.4651,ALL
1.2353,-0.7201,0.3136,3.1918,2.6256,0.1044,-0.6295,-0.6424,-0.542,1.1905,-0.5828,0.6371,-0.589,-0.0051,-0.5735,0.8068,-0.7081,-0.4969,1.1179,0.7459,-0.2113,0.0851,-0.5199,0.7582,0.1236,0.4163,0.1711,-0.1819,-0.474,1.3251,0.0252,-0.4494,-1.1634,1.9696,0.1562,-0.4409,0.2377,0.1607,-1.3856,1.1648,-0.7873,-0.8216,-0.3583,0.482,0.3118,-0.1094,-0.5883,-0.3624,-0.2301,2.1685,0.8873,-1.091,0.737,-0.4966,1.6247,1.9881,-0.1579,-0.1728,-0.2064,-0.0658,-0.7941,0.9139,0.0028,2.4459,-0.1981,-0.7134,-0.447,1.0194,-0.2124,0.0079,0.588,-0.809,-0.1473,0.7262,0.6349,-1.0335,1.2173,1.6633,1.0728,-0.4142,0.8554,0.5316,-0.0968,1.2899,0.0415,-0.5763,-0.6593,0.9142,0.6705,-0.4261,-0.3966,-1.0328,0.5081,-0.1448,-0.3758,-0.0575,0.4456,-0.9259,-0.6616,0.0789,ALL
0.1025,-0.4321,0.0772,0.332,0.3792,1.0805,-0.8085,0.8031,1.0553,-1.042,0.2571,-1.2271,-0.8781,0.813,-0.4496,0.25,-0.0312,-0.5408,-0.0938,1.6236,-0.3366,-0.0335,-0.3998,-0.5173,0.8053,0.8138,5.1086,5.5038,-0.3424,1.9474,-0.5249,-0.6306,2.0005,0.7385,0.674,0.6547,0.541,0.8725,-0.8476,-0.3488,1.1638,0.2569,-0.0099,1.4819,0.0731,-0.8537,0.605,-0.4556,-1.3352,0.3526,0.1117,0.1158,0.4616,0.2661,0.8797,-0.8969,-0.542,0.0225,0.153,1.5778,0.0481,1.0376,0.0316,2.2153,0.3257,-0.1689,1.0963,-0.5766,2.0653,1.2785,0.8902,0.4237,-0.0083,2.3932,1.0562,-0.201,0.9868,0.0542,0.0296,-0.2683,0.1417,-0.5595,-1.3166,0.8992,-0.5454,-0.574,1.0505,-0.6802,0.3485,-0.2868,0.4902,1.6723,1.0561,0.0281,0.7843,0.1745,0.6337,-0.2926,-0.3143,0.717,ALL
0.8513,-0.9793,0.7076,3.0011,-0.2401,0.8989,-1.6706,0.4071,-0.0057,0.93,-1.0101,-0.4168,-1.2859,-0.0285,0.2673,0.5465,-0.0394,-0.4846,-0.5339,1.1189,-0.3199,0.1889,-1.029,0.0518,-0.3752,0.4092,-0.4451,0.1581,-0.4351,1.3975,0.8475,-1.079,0.2986,-0.4002,1.8075,-0.6552,2.1801,0.5455,0.178,0.9454,-0.1071,-0.2371,-0.4032,1.5286,-0.9114,-0.1751,-0.9091,0.0477,-0.1687,0.1538,1.3921,-0.3659,0.1059,-0.4633,1.2699,-0.3294,-0.6018,-0.8016,1.2946,1.5172,-0.4509,-0.6138,-0.3281,1.0056,-0.2712,0.2439,-0.6898,0.1166,0.3079,-0.1076,0.0541,-1.3119,-0.0751,0.1813,1.0615,-1.2857,-0.204,-0.0561,2.9795,-0.4592,-0.0185,0.9358,-0.3463,0.5737,-0.3877,-0.8537,1.0505,-0.428,-0.7336,-0.2706,1.7186,-0.325,-0.4784,-0.2152,-1.2617,-0.6542,-0.1707,-0.4748,-0.0828,0.2498,ALL
0.9473,-0.2449,1.6532,-0.2638,1.1784,0.4903,-0.8294,-0.2167,-0.7694,-0.0863,0.2276,-0.5187,0.1711,-0.0051,-0.541,0.5148,-0.0801,-0.5127,0.3406,0.7514,0.1395,1.3601,-0.5828,0.0061,0.0737,0.8635,0.0684,-0.4165,-0.4328,1.412,-0.2393,-0.249,-0.8361,0.0204,-0.624,-0.7029,1.1824,0.8918,-1.3015,-1.2262,0.2509,-0.4784,-1.2855,0.8395,-0.7622,-0.6895,-0.7198,-0.3251,0.0428,0.6309,1.3297,-0.644,0.4071,-0.5372,0.5108,0.1108,0.7201,0.2131,1.2364,-0.2691,1.9509,-0.9209,-0.0547,-0.2647,-0.1006,0.6479,-0.6406,0.0932,0.4929,0.1608,-0.4679,-0.8224,-0.2744,-0.3357,0.1455,-0.0245,0.7333,-0.1897,0.9107,0.5625,0.9865,-0.2421,-0.4994,1.1109,0.0853,-0.2739,1.1003,-0.7271,-0.4251,-0.4561,0.694,0.1598,0.8995,-0.6952,0.8686,0.1193,0.6661,-0.1535,-0.623,0.2454,ALL
2.0033,3.4128,1.6729,0.7252,1.488,1.2394,-0.0299,-2.9491,-0.682,0.3196,1.1854,-0.0442,0.1099,-1.5246,-0.0218,2.3468,0.2379,0.0443,0.9979,1.0531,-0.7626,-1.3975,2.0601,-3.0797,1.0132,1.9779,-1.3378,3.3186,-0.4615,-1.3809,1.4325,3.1089,0.1895,3.5084,1.5941,-0.4171,2.847,1.6037,0.447,0.3312,-0.662,0.7811,-0.5325,1.3469,0.5007,0.9031,0.2329,2.7507,2.0825,3.7988,0.4286,1.2679,1.0009,-0.3353,2.054,-0.7951,0.1315,2.0281,-1.813,0.6608,1.483,-0.9648,-0.4144,0.6335,0.5511,2.7995,1.9725,-0.4223,1.3138,2.0396,0.7411,-0.809,-1.3299,0.6902,0.3922,1.4134,1.2096,0.8646,-0.2912,3.1334,2.9381,0.1542,0.8597,0.4109,0.4095,1.2017,1.7145,-1.0034,-0.7828,0.4768,-0.4505,1.0324,-0.3218,-0.26,3.8637,4.9703,5.343,1.867,2.5123,0.5303,ALL
