U58522_at,S77576_at,U71300_at,X65550_at,D87466_at,U79249_at,D31884_at,D11139_at,D30742_at,X15187_at,X65724_at,U44975_at,D87460_at,L75847_at,U33818_at,M16342_at,M55040_at,AJ000480_at,U47105_at,U38175_at,M28879_at,X79204_at,U67674_at,L77567_s_at,Y09858_at,M73047_at,U04898_at,U20158_at,D88422_at,U75308_at,U73824_at,M61855_at,L14542_at,D87685_at,X14813_at,S58544_at,U77948_at,AB000381_s_at,X06700_s_at,D13644_at,L07590_at,U70426_at,D87469_at,X52851_rna1_at,L32164_at,AC002073_cds1_at,X99459_at,U12387_s_at,U83192_at,U57629_at,U30521_at,U43083_at,U72515_at,HG2788-HT2896_at,U72066_at,D14661_at,U87408_at,U78793_at,M28170_at,X58521_at,U09279_at,AF000560_at,M19267_s_at,U09564_at,U66061_cds3_at,U62389_at,X78338_at,M94250_at,U03397_s_at,U76366_s_at,S80437_s_at,U40990_at,X13334_at,D25538_at,D86976_at,D26561_cds1_at,D63480_at,U03105_at,HG2797-HT2906_s_at,Y10505_at,HG3638-HT3993_s_at,D25274_at,U40391_rna1_at,Y10512_at,M55131_at,U41767_s_at,X86019_at,X93920_at,X69910_at,S71043_rna1_s_at,U41668_at,D63390_at,U11287_at,L15326_s_at,S77582_at,M74587_rna1_s_at,X66533_at,U62317_rna3_at,U19345_at,U29607_at,class
-0.4736,0.0648,0.1954,1.0648,-0.2833,-0.0999,-1.2411,-0.187,0.6589,-0.8582,-0.2881,-1.1164,-0.432,0.0884,1.7807,-0.8801,-0.7326,-0.1173,-0.8825,0.8172,-0.9881,0.6188,-0.6915,0.2606,0.2982,-0.258,-0.4214,-0.5984,-0.4976,-0.9902,-1.3164,0.2566,0.7349,-0.3489,-0.3371,-0.8457,-0.5773,0.6994,-0.5449,0.2873,0.1435,0.3097,-0.3808,-0.1236,1.2864,-0.093,-1.6822,0.2993,-0.7622,-0.6415,-0.6944,-1.1903,-0.8408,-0.5388,-0.362,-1.1443,-0.3025,-0.0013,0.3644,-0.7578,0.7656,0.4512,-0.3856,0.8964,-0.2712,-0.0723,-0.4992,-0.4229,0.0882,-0.3964,0.0227,0.0276,-0.1245,-0.512,-0.6718,0.3539,-0.6265,-0.3785,-0.5907,0.0124,-0.2661,-1.0174,-1.2478,0.3295,0.6197,-0.5194,-1.4728,-0.8374,-0.4832,0.799,-0.3786,-1.1492,0.0227,0.0665,-0.0383,-0.4443,-0.2096,-0.4795,0.1584,-0.3354,ALL
0.1217,0.1296,-0.0213,1.0052,0.2208,-0.395,-0.3849,0.8823,-0.9385,-0.2381,1.0823,-0.8531,1.879,0.2052,-0.957,-0.2991,-0.39,-0.7499,-0.8882,-0.3897,-0.203,0.263,-0.6057,0.1348,-0.1341,-0.4213,0.1395,-0.1951,-0.4624,0.1819,-1.2163,-0.6783,-0.116,-0.8926,-0.2007,-1.1315,-0.7509,-0.4935,-1.167,0.1338,-0.3577,-0.8405,-0.1504,-0.7322,-0.812,-0.6567,-0.6942,-1.0894,-0.7144,-0.0848,-0.6368,-0.9023,-0.1265,-0.6307,0.3511,-0.1148,-0.3025,-1.2637,0.8401,-0.8573,-0.9188,-1.2201,-0.0691,-0.0381,-0.1981,-0.8188,-0.6529,-0.0777,-0.883,0.4326,-0.2403,-0.5197,-0.1805,-0.6402,-0.6291,0.7575,-0.5189,-0.3989,0.0542,-0.5377,-0.0767,-0.1742,-0.5631,1.7457,-0.8082,-0.6968,0.4363,0.0105,0.6526,-0.3491,0.5861,-0.4026,-0.7759,-0.42,0.2148,-0.7758,-0.6507,-0.8595,-1.5105,-0.6438,ALL
3.1361,-0.4609,0.8849,-0.0136,2.7912,1.1032,0.0507,-1.2364,-1.7197,2.6128,-1.1869,1.3257,2.3596,0.8364,2.5802,2.834,-0.2106,-0.1735,0.3863,1.3219,-0.203,-1.0416,0.4412,0.9012,-0.2173,3.3336,-0.1449,0.0474,-0.4986,3.1919,3.6097,-0.249,0.6695,2.144,2.7871,-0.2742,3.1138,-0.0895,-0.7299,2.2177,-0.8052,1.3354,0.1362,1.6023,1.3858,-0.2134,2.0004,2.8439,0.6636,1.4262,5.8122,-0.6341,1.1472,-0.4498,1.05,3.3524,0.7002,0.194,1.8178,-0.4378,0.1417,-0.2588,0.3482,2.195,0.746,-0.8715,0.5921,0.3682,0.0651,1.1189,1.3809,-1.5166,-0.3786,0.5619,1.7828,-0.2263,2.8997,0.6032,-0.27,-0.0999,2.2754,2.8368,0.0872,-0.9891,0.3481,-0.4558,1.3493,0.1423,2.316,-0.3677,4.2533,0.7124,1.8859,-0.26,-0.3758,0.7381,0.718,1.2306,0.6504,1.6531,ALL
1.8689,0.0792,-0.7305,-1.1814,0.3,0.9897,0.003,-0.2068,0.1342,0.155,-1.2901,-0.7512,-0.7364,0.5091,1.3913,0.8567,-1.5726,-0.9696,-1.1283,-0.4884,0.1478,2.8723,-1.2464,0.1233,-0.766,-0.0806,0.4239,-0.8936,-0.436,0.8621,-0.014,-0.6974,-0.3124,1.7542,-1.1348,1.1072,-0.0145,-1.4363,-0.2928,-0.7436,-1.2169,-0.3427,0.9736,-0.3115,-0.4341,-1.0015,1.0733,-0.1574,-2.5358,-0.3499,0.643,-0.8824,-0.8293,-0.6465,-0.2768,-0.8278,-0.3374,-1.2351,2.0503,-1.2769,-2.2913,-0.9409,0.8949,1.8714,-0.0519,-0.8188,-1.5014,-0.3533,-0.0158,-2.5606,-1.7437,-0.6354,-0.0221,-0.544,-1.3664,0.0764,0.764,1.6226,-1.6234,-1.2001,-0.7904,1.6968,-1.148,0.1341,0.0591,-1.579,-0.4933,-0.4014,-0.1836,-0.4397,-0.0311,-0.1214,0.6803,0.6873,0.6999,-0.6542,-0.4561,0.1601,-1.2693,0.7328,ALL
-1.9904,0.6552,-0.9078,-0.2162,-0.8305,0.7854,-0.3759,0.6744,0.3383,-0.7351,-1.3638,-0.4784,0.0716,-0.683,-0.8626,-0.8846,-0.6918,-0.5408,-1.0711,-1.1577,-1.1468,0.0554,-0.5771,-0.0168,-0.2671,-0.6059,-0.3898,-0.6116,-0.4745,-1.5401,-0.6438,0.3138,0.5386,-0.1437,-1.5791,0.2974,-0.305,-1.3016,0.0267,1.8009,0.4836,-0.4294,0.3891,-1.5116,-1.0606,-0.0164,-1.8458,-0.9683,-0.5644,-0.2704,-0.6022,-0.798,-0.1322,-0.6754,-0.6174,0.4964,-0.4971,-0.411,-0.1641,0.6176,-1.0124,-0.0713,-1.0331,-0.8958,-0.6244,-1.2491,-0.8005,0.8451,-0.0968,-1.1507,-0.4719,0.9755,-0.4207,-1.097,-1.4424,0.2026,-1.533,-0.3059,-0.3581,-0.6725,0.5204,-0.2847,-0.4323,-1.3473,0.4533,-0.6809,1.5153,-0.5332,0.9745,-0.4743,-1.3973,0.1695,0.555,-0.3688,0.5101,-0.378,-0.7415,-1.4898,-0.0828,0.0029,ALL
-1.3952,-0.1225,-1.3215,1.5772,-0.4705,0.5584,-0.7488,-2.0185,1.5567,-0.7623,0.6844,-0.504,-0.6139,-0.309,-0.7977,-0.1448,-0.5939,-0.7411,-0.511,-0.9053,0.0643,-1.3975,-0.64,-0.0711,1.512,-0.4426,0.4397,-0.2953,-0.4587,0.3701,-0.5214,0.6572,0.4076,-0.9234,-2.0584,-0.2503,-0.422,-2.0327,0.4806,-1.0288,-0.5009,-0.3314,-0.0829,0.6562,-0.1158,-1.2806,0.3965,0.4392,-0.2164,-0.4692,2.0964,0.4038,-0.924,-0.6449,-0.9509,-0.2239,0.0816,-0.6444,-0.386,1.1583,-0.6069,-0.0075,1.0532,-0.4062,-0.7706,-0.7924,-0.2564,-0.4898,-0.5477,1.4246,-0.2442,-0.0658,-0.4261,-0.524,-0.6144,1.2116,-0.4805,-1.3399,-0.0163,0.046,-1.7953,-0.2058,0.2077,-1.1031,-0.1687,0.0831,-2.8174,-0.9312,-0.6531,-0.4095,-0.5224,0.5379,-0.3218,0.2841,-0.2282,-0.6321,-0.3847,-0.1891,0.1391,0.2349,ALL
-0.128,0.4608,2.7957,0.1473,1.4088,0.0817,-0.7876,-0.385,0.5365,-0.3932,1.0233,-0.0222,-0.5373,0.5792,0.7865,2.2682,-0.9446,0.0777,0.3235,0.1863,0.507,0.6336,-0.5199,-0.7832,-0.342,3.6601,-0.7532,-0.3296,-0.4124,1.2672,-0.2219,-0.4494,-1.3597,1.0566,0.555,2.0836,2.3756,1.3343,-1.0661,1.2306,-0.1608,-0.1541,0.8612,1.085,1.5748,0.7498,0.7622,0.057,-0.0186,-0.2439,0.9286,0.3492,1.219,-0.462,0.9897,0.3364,-0.2576,-0.2299,1.5429,1.1799,2.793,0.8102,-0.0835,1.5558,0.0151,0.6479,0.0388,-0.5863,1.071,0.069,1.64,0.2279,-0.1744,1.8402,0.6802,-0.9578,1.1174,0.7251,-0.3088,-0.1111,0.8481,1.111,-1.1153,1.1271,-0.8783,-0.3285,-0.2775,-0.9515,-0.3088,-0.4548,1.449,-2.0605,0.649,0.0729,-0.7765,0.0419,0.5169,-0.41,-0.3722,-0.0298,ALL
-0.9536,-0.1225,0.2742,-0.5617,-0.5569,-0.168,0.6772,0.7833,-0.4721,0.7207,0.0213,2.0862,-0.5851,0.9299,-1.0278,-0.4156,-0.1372,-0.3827,-1.2769,-0.2745,-0.4535,0.3519,-0.6,-0.2427,-0.0344,-0.4568,-0.295,-0.2847,-0.4865,-0.1364,-0.8587,-0.0201,-0.967,-0.3591,0.0687,-0.7743,-0.6285,0.3531,1.3885,-0.5023,0.5194,0.5548,0.1138,-0.679,-0.7324,0.613,-0.6044,-0.1574,0.6158,-0.0053,-0.7257,-0.4801,-0.0749,-0.5445,-1.1673,-0.675,-0.5619,-0.4919,1.4003,0.2846,0.7032,-0.901,0.3913,-1.1668,-0.5148,0.1561,-0.7021,-0.0549,0.7357,-0.4949,-0.7663,-1.0627,-0.2612,-0.3637,-0.3878,0.0008,-0.8108,-0.1142,-0.7987,-0.3132,-0.0986,-0.9763,-0.4753,0.069,-1.2112,-0.4808,0.2205,1.1487,-0.112,-0.4261,-0.5344,0.0143,0.8995,-0.3112,0.025,0.0419,-0.1447,-0.7235,-0.7291,-0.3588,ALL
-0.0512,-0.0361,-0.7305,-0.2579,-0.5353,0.0136,-0.4028,-0.6523,-0.2447,-0.5338,0.6697,-0.1132,0.7015,-0.3558,-0.9777,-0.6153,-0.6429,-0.5074,-0.5224,0.6801,0.365,0.4113,-0.0794,0.4007,-0.9239,-0.8614,-0.216,-0.0923,-0.4583,-0.4114,-0.7285,0.5141,0.1676,-0.2155,0.3661,-0.1075,-0.1077,0.026,-0.7299,0.397,-1.7359,-0.0108,-0.7854,0.2329,1.0676,-0.3447,-0.0205,-0.8378,-0.1823,0.0477,-0.729,-0.5,0.4587,-0.3003,-0.9154,-0.1948,0.7551,-0.3157,1.9499,-0.68,0.9215,-0.6936,-0.2705,-0.8189,-0.1067,-0.8363,-0.2225,-0.4422,-0.698,-0.9808,0.4388,-0.4307,-0.1076,-0.1553,1.2202,-0.0497,-0.6265,0.4028,1.316,0.1359,1.1103,-0.3905,-0.3016,1.6155,0.1291,-0.8014,-0.8419,1.0257,-0.2507,-0.2805,0.8558,-0.0632,-1.23,-0.0424,-1.0718,0.1966,0.0369,-0.2339,-0.951,-0.105,ALL
-1.7408,1.4832,-1.223,0.1175,-0.3625,0.5584,0.2565,-1.5136,1.1078,-0.855,1.2591,-0.9316,-0.1926,-1.8986,-0.898,-1.1433,1.7793,0.8632,0.9464,0.2522,1.2671,-0.1373,0.6357,-1.5325,-1.9881,0.5085,-1.1245,-0.8884,-0.4309,-0.9902,-0.4969,1.1819,-1.3379,-0.6669,-0.4771,-0.5123,-0.4914,0.5647,2.145,-0.5023,1.9871,1.524,0.0182,-0.888,1.4057,-1.111,0.1078,1.6322,2.1712,-0.4559,0.0872,-0.6341,-3.6264,-0.5608,0.9507,-0.3731,1.5283,1.9757,0.4913,0.756,0.8591,-1.1722,-1.1913,-0.208,-0.3747,0.7884,-0.1887,0.5501,-0.6517,0.4428,-0.5857,-0.582,-0.5767,-0.8365,-0.9024,0.3287,-0.373,0.1355,-1.6621,1.3708,-0.2879,-0.7663,1.3311,1.7946,-0.3351,0.2786,-0.2609,-0.6118,-1.0153,-0.3964,0.1966,-0.1408,0.9152,-0.2472,1.0374,3.0365,0.4261,1.4299,0.2742,0.8367,ALL
-0.8,-0.4321,1.3577,-1.229,-0.6577,0.1044,1.0501,0.5358,1.2361,-0.6648,0.1245,1.4019,0.4564,-0.8233,-1.3789,-0.8256,-0.2269,1.2041,1.4723,-3.3739,0.8495,-0.6265,-0.0222,-0.8662,0.4728,-1.7061,-0.5004,-0.5378,-0.4657,0.3411,-0.1365,0.9148,-2.298,-1.6415,0.1632,-0.3932,-0.1241,1.6614,-0.4441,1.8667,0.1972,-0.3691,0.3891,-1.3267,1.8831,0.1095,-0.1007,0.5417,-0.0664,-2.126,-0.1279,-0.2368,0.0169,-0.7014,-0.7167,-0.2239,1.4435,1.0753,-0.3121,0.3408,-1.4491,0.8381,0.1036,-0.6571,0.7399,-0.7924,-0.4162,4.4617,0.2501,0.2049,-0.625,-0.2661,-0.4707,-1.3254,0.1322,-2.0173,-0.9952,0.5189,0.1741,0.3379,1.5618,-0.9305,-0.8882,-0.6635,0.7686,0.0194,1.6149,0.2741,1.5961,-0.527,0.7119,2.3898,-0.7602,-0.9,0.8686,-0.0796,-0.521,0.347,1.4222,-0.9028,ALL
0.4097,1.5336,0.5894,-0.234,0.7104,-0.622,0.4445,0.3675,-0.3322,-0.9605,1.7159,-0.7856,2.2849,0.439,-0.839,-0.042,-0.1128,-0.6146,-1.0083,1.4481,-0.4702,2.8723,1.2192,0.1548,2.1771,-1.1098,0.5424,-0.493,-0.4555,-1.0047,-0.9406,-1.1744,-0.1597,0.0615,-0.8444,-0.298,-0.2977,-0.2049,-0.1751,0.3751,3.1864,0.0495,4.9185,0.0594,-1.5877,-1.0015,0.7814,-1.0149,-1.765,0.7105,-0.5153,0.4386,1.4485,0.1674,-0.9757,-0.6896,-0.4173,-0.4348,1.6434,0.211,-0.0454,0.6666,0.1323,0.0833,0.4719,0.964,0.1648,-0.1363,0.4351,-3.3794,0.8157,0.526,-0.4653,-0.3116,-0.6851,0.8332,0.2262,-0.6748,-1.6339,0.9442,-0.1495,-0.7995,0.3281,0.1667,-2.1485,-0.5786,1.7311,-0.6397,0.1831,-0.3532,-0.6303,0.2664,0.9152,0.4953,-0.0383,-0.599,-0.761,-0.6695,0.0137,0.3436,ALL
1.0433,-0.7849,-1.2033,0.8324,-0.7945,-1.5527,0.2446,1.1397,-0.3438,-0.2861,0.1097,1.0441,-0.2156,-0.2857,-0.3198,0.0019,-0.0149,-0.7587,0.0377,1.0257,-1.5394,-1.2937,-0.1995,-0.7317,0.664,-0.4213,-0.2318,-0.5088,-0.4068,-0.6718,0.8272,-0.4684,0.7568,-0.8413,0.4186,-0.7743,0.4515,-0.2049,-1.6209,-0.612,-0.4472,2.3649,-0.4988,-0.4207,-0.2352,0.4434,-0.8706,-0.1108,0.5544,0.7237,-0.5479,-0.5646,0.2264,-0.3544,-0.0285,2.3228,-0.532,-0.1108,-0.7824,-1.4153,-0.139,-0.6218,0.9237,0.3948,-0.0032,-0.608,-0.4193,-0.2038,-1.0911,-1.0827,-0.9194,-1.5833,-0.4882,-0.1754,-0.9611,0.253,0.0803,1.6836,-1.2463,0.3828,0.0616,-0.73,-0.453,-0.8589,-0.1599,-0.4967,-0.7091,0.0321,-0.9661,-0.36,-0.2168,0.6542,0.9465,-1.2712,-0.1227,0.1414,-0.2874,-0.5691,0.0716,0.8961,ALL
1.7537,-1.5625,-0.6911,0.5107,1.2864,1.3302,-0.7787,0.4764,-0.2389,0.4139,0.2424,-0.7739,-0.0739,0.4857,-0.7092,-0.4005,-0.439,-0.8993,0.3292,-0.4555,-0.1445,0.6336,0.3897,1.0785,-0.4916,0.6505,0.1632,-0.2637,-0.4457,-0.5127,-0.5823,0.8003,0.2549,1.4977,-0.4561,0.869,-0.0912,1.0457,0.985,2.108,0.6447,-0.931,-0.1953,-0.7031,0.3018,0.7991,-0.4504,-0.8191,-0.4484,-0.2041,-0.1462,-0.7682,-0.0519,-0.3336,-0.7415,-0.4895,-1.0808,-1.1065,-0.6556,-0.5589,0.7344,-0.4024,-1.3064,-0.1028,0.8252,-0.0898,0.4108,0.7403,-0.2702,1.0679,-0.1814,-0.5197,-0.1473,-0.1513,-0.7224,1.1107,0.5719,-0.8752,-0.5942,-0.8072,0.6078,0.9136,-1.3286,0.4271,0.1116,-0.5626,-0.4103,-0.0275,-1.5161,0.9313,-0.3606,0.8094,-0.494,0.0921,-0.7765,0.5834,0.692,-1.1746,-0.1503,-0.8188,ALL
1.6001,-0.1297,1.3183,0.0698,3.8641,-0.6901,-0.8324,0.2586,-0.029,1.296,-0.0229,-0.7248,-0.028,-0.3792,0.6567,1.8597,0.0748,-0.2245,0.735,-0.1593,-0.3366,-0.0928,-0.1709,0.4551,0.5975,0.2814,-0.4372,-0.464,-0.4745,1.7882,0.1784,-0.4303,0.2113,2.5236,0.8769,-0.298,0.9247,0.026,-0.2423,0.8357,0.1435,-0.716,0.2599,1.7135,-0.4738,0.2737,0.7076,0.812,-0.1005,0.8297,0.6233,-0.7533,0.8661,-0.3885,1.3444,1.2495,0.351,0.0083,0.7872,0.5181,0.2665,-0.0912,0.2474,4.1693,0.277,-0.3972,-0.3701,1.0573,0.7357,0.718,0.7018,-0.6577,-0.2473,0.6781,0.5909,0.4296,1.2864,-1.5374,-0.2383,0.5063,0.7534,1.0131,0.2782,-0.8263,1.2855,-0.4331,0.0545,1.4199,0.5766,-0.4731,0.4303,0.2373,0.054,-0.484,0.5101,0.2408,0.8218,-1.2781,-0.295,0.2648,ALL
0.0833,1.7568,-0.1789,-1.0265,-0.2401,-1.2803,0.0566,-1.4938,0.7522,-1.1426,0.2866,-0.0941,2.373,0.2754,-1.1016,-0.9527,-0.0394,1.2639,-0.934,0.5374,-0.6039,0.7226,2.7923,-2.093,-1.6888,-1.2234,-1.3536,-0.8857,-0.4536,-0.4258,-0.0693,0.8194,-0.727,-0.9747,-0.9144,1.1072,0.0915,-0.6667,0.7496,3.0293,-0.1071,1.4787,-0.5493,-0.1481,-0.454,0.7608,1.253,2.1355,2.2394,0.1007,-0.4848,-0.212,-4.7309,-0.0655,1.7985,-0.5259,2.4762,3.5763,1.7491,-0.334,1.0775,-0.9169,-1.105,0.5768,0.076,0.1648,0.1464,-0.1445,0.8166,1.1087,0.4231,0.5127,-0.5056,-0.4038,0.2389,-1.1344,-0.711,-0.7648,0.0472,1.1575,0.2219,-0.7553,1.6889,-0.3217,1.3994,1.3404,-0.3273,-0.461,-0.3625,-0.286,1.3711,-0.2572,0.9621,-1.3864,-1.1351,1.147,-0.2031,0.9016,0.361,1.6139,ALL
1.3697,-1.1521,0.0772,3.305,-0.9241,-0.2361,-0.9517,0.5952,-0.2972,-0.9461,-0.406,-1.1633,-0.2788,0.8831,0.0401,-0.7,-1.3361,-0.713,-0.1909,-0.9273,-0.6707,-0.7155,-1.5324,1.0299,-0.608,0.6079,-0.0264,-0.6696,-0.3897,0.8187,-0.9546,-0.7737,1.695,0.8001,0.5305,-0.7743,1.1568,-0.6474,-0.7803,-0.3049,0.0361,-0.618,0.4228,-0.6095,-0.2551,-1.1876,-1.2684,0.1316,-1.4444,0.4851,0.3566,-1.1158,0.6882,-0.653,0.4788,-0.3876,-0.9411,-0.7682,-0.2222,-1.2466,0.4224,0.9578,-0.1842,0.1601,-1.1787,-0.4587,-1.4307,-0.5167,-0.7096,-0.1246,-0.3894,-1.0226,-0.1991,0.7943,0.7949,-0.8317,-0.204,-0.5789,0.5935,-1.4359,-0.7685,0.8994,-0.914,-0.7612,-0.7293,-1.122,-0.7921,-0.826,-1.4803,-0.4227,-0.073,-0.4123,0.4141,-0.3944,0.2991,-0.2564,0.1147,-0.0191,-1.1922,-0.9505,ALL
0.1217,-0.6625,0.2151,0.5167,-0.2113,1.7388,-0.5937,1.3377,0.3558,-0.8007,-1.1133,-0.8568,-0.4741,1.3974,-0.8095,-0.7908,0.3113,-0.6691,0.0148,-1.1522,-0.512,-1.7533,-0.4798,0.4751,-1.4976,-0.5846,-0.216,-0.1793,-0.2618,-0.0785,-0.7747,-0.3826,-0.727,0.1025,-0.1097,-0.56,0.499,0.5455,-0.5954,-0.8314,0.1077,-0.5199,-0.4257,-0.8799,0.1527,0.5419,0.4895,0.1129,-1.4989,-1.3307,-0.5737,-0.3957,-0.4363,-0.3397,-1.0573,-0.5004,-1.2354,-1.6971,1.5535,-0.6973,0.2665,-1.6868,1.974,0.0266,-0.9046,0.5952,-0.9911,-0.372,0.0766,-0.5425,-0.4248,-0.1148,-0.2124,-0.0391,-0.6611,-0.6047,-0.9799,-0.3553,-0.2841,-2.1207,-0.8049,-0.2832,-0.3188,-1.8845,-1.1936,-1.0515,0.8015,0.3667,-0.2551,-0.3473,0.1547,0.4894,-0.2592,-0.452,-1.6202,0.5834,-0.5728,-1.428,-0.5651,-0.0533,ALL
