X95735_at,M84526_at,M23197_at,M27891_at,M31523_at,M92287_at,U05259_rna1_at,X59417_at,M11722_at,X17042_at,class
-0.6205,-0.5591,-0.3412,-0.4915,0.3465,0.6527,2.1432,-0.0469,0.2067,-1.0238,ALL
-0.6154,-0.4973,-0.691,-0.3178,-0.1475,-0.1635,-0.651,0.1255,-0.3201,0.0269,ALL
-0.6143,-0.5908,-0.2363,-0.4996,-0.4998,0.7108,-0.7395,1.9434,0.0478,-0.9473,ALL
-0.3956,-0.5829,-0.2822,-0.5914,0.7257,0.8982,0.8135,0.2934,-0.3465,-0.955,ALL
-0.3842,-0.3967,-0.0483,-0.5555,0.3488,0.1272,0.8268,0.8831,-0.2345,1.4709,ALL
-0.6496,-0.4902,-0.785,-0.349,-0.2774,0.0247,-0.8542,0.4511,-0.083,-0.8894,ALL
-0.7606,-0.5826,-0.7281,-0.5798,-0.0913,0.3385,0.7579,1.015,-0.6428,-0.9515,ALL
-0.9127,-0.6648,-0.3631,-0.5821,1.0453,0.0694,0.394,-0.4456,0.4562,-1.0357,ALL
-0.9172,-0.5444,-0.5729,-0.4861,0.4869,1.6527,-0.8074,1.9679,-0.3952,-0.8091,ALL
-0.5101,-0.4891,-0.5467,-0.4594,-0.6813,-0.1729,-0.7538,0.878,-0.5285,-0.7304,ALL
-0.8045,-0.522,-0.6057,-0.6033,-0.4764,1.1853,-0.8989,1.4432,-0.5896,-0.6507,ALL
-0.5579,-0.4673,-0.2844,-0.5238,-0.6438,-0.4164,-0.1178,-0.9643,-0.0635,0.6004,ALL
-0.3779,-0.5084,-0.5795,-0.5574,1.1061,2.9664,0.7343,1.9514,2.2846,-0.3098,ALL
-0.5852,-0.5186,-0.5948,-0.4063,-0.3956,-0.473,-0.8963,-0.5796,-0.7561,-0.2724,ALL
-0.2561,-0.535,-0.7347,-0.5289,1.8119,2.3938,0.9637,1.759,1.1577,-0.3978,ALL
-0.3073,-0.5078,-0.4702,-0.5355,0.4857,0.0899,0.2617,1.2501,1.3407,-0.6862,ALL
-0.2629,-0.5237,-0.2865,-0.4796,-0.041,-0.297,-0.8754,-0.2841,-0.4452,-0.7124,ALL
-0.5682,-0.5004,-0.6035,-0.5378,0.1896,-0.7071,0.159,-0.7838,-0.8809,-0.6862,ALL
-0.44,-0.5095,-0.5729,-0.571,0.2341,-0.2452,-0.0541,1.4183,1.6083,-0.5943,ALL
-0.3193,-0.4953,-0.5183,-0.5076,4.1331,1.3149,1.7528,1.9032,2.6395,-1.0229,ALL
-0.7515,-0.5217,-0.6079,-0.5618,1.97,-1.0181,-0.018,1.1072,-0.2555,-0.4686,ALL
-0.7208,-0.5478,-0.6407,-0.5582,-0.8779,0.0537,0.841,-1.0265,-0.7682,-0.9672,ALL
-0.8517,-0.5568,-0.6757,-0.4714,-0.508,0.267,-0.6593,-0.2892,-0.5811,-1.0235,ALL
-0.6638,-0.5534,-0.6888,-0.5751,0.9352,0.3836,1.026,0.3014,-0.3198,-0.5406,ALL
-0.3916,-0.5364,-0.468,-0.5791,-0.5513,-0.5606,0.7327,0.3175,0.0501,0.1072,ALL
-0.5437,-0.4939,-0.6319,-0.5305,1.0359,0.82,1.7763,0.0571,0.8983,-0.5204,ALL
-1.1741,-0.5917,-0.7281,-0.5358,0.0609,-0.2102,0.439,-0.5568,-0.0438,-0.9874,ALL
-0.6889,-0.5704,-0.5445,-0.5521,0.5384,0.203,3.3502,0.6421,1.931,-1.0699,ALL
-0.7304,-0.6274,-0.3784,-0.5302,-0.4893,-1.0189,-0.3468,-0.4169,0.6306,-0.6743,ALL
-0.7379,-0.514,-0.5751,-0.5002,0.8509,0.8805,0.6266,-0.0157,0.5488,-0.746,ALL
-0.563,-0.4213,-0.2844,-0.5238,0.0328,-0.6984,-0.0995,0.03,1.5074,-0.2964,ALL
-0.3318,-0.5186,-0.4265,-0.5705,1.6434,2.2799,0.9189,3.1444,1.4587,-0.5886,ALL
-1.034,-0.5327,-0.0592,-0.4765,0.5185,0.4155,2.1306,0.9097,1.2636,-0.8597,ALL
-0.6467,-0.5103,-0.7522,-0.562,0.5326,1.2897,0.2544,0.2363,-0.3646,-0.7019,ALL
-0.8199,-0.5129,-0.7194,-0.5572,1.3156,0.1892,0.0847,0.208,1.5619,1.1803,ALL
-0.8768,-0.4897,-0.6319,-0.4587,1.0897,0.9755,3.0291,0.9693,1.96,-1.0309,ALL
-0.825,-0.4877,-0.656,-0.5285,0.2938,1.7127,0.4443,0.2718,3.079,-0.6558,ALL
-0.7743,-0.5024,-0.8309,-0.5333,-0.0515,1.463,0.1802,0.3572,0.8913,-0.9899,ALL
-0.7658,-0.5699,-0.6691,-0.502,0.2961,-0.5115,0.675,-0.0698,-0.3147,-0.9691,ALL
-0.5004,-0.4868,-0.6276,-0.5478,-0.2294,-0.5924,0.4831,-0.8671,-0.3061,-0.7195,ALL
-0.5528,-0.4848,-0.409,-0.4668,0.3944,-0.2734,1.2122,-0.0106,-0.4156,-0.6462,ALL
0.3094,-0.4463,-0.75,-0.5145,3.3933,1.2124,1.0744,1.472,0.9613,-0.3501,ALL
-0.5653,-0.4744,-0.3609,-0.5687,0.9013,2.3718,0.5882,1.4775,0.6993,-0.3994,ALL
0.6055,-0.4367,-0.3718,-0.1972,-0.1112,-0.2522,-0.7133,-0.714,-0.8468,0.3281,ALL
-0.2903,-0.5007,-0.5642,-0.4823,-0.2376,0.1016,-0.4034,-0.1243,-0.3303,-0.4221,ALL
-0.698,-0.4795,-0.3609,-0.4503,0.3195,-0.2746,0.6899,-1.048,0.6061,-0.7278,ALL
-0.5778,-0.4882,-0.6451,-0.5117,0.0737,1.8659,-0.1913,0.755,1.5428,0.3626,ALL
0.888,0.8901,2.2581,-0.2883,-0.8486,-1.0283,-0.712,-0.9914,-0.6934,1.6457,AML
-0.1923,-0.5673,0.7956,-0.2975,-0.7433,-1.1591,-0.7309,-1.1148,-0.8373,0.0807,AML
1.9791,0.8173,1.2088,2.4002,-1.0511,-0.7098,-0.9523,-0.6253,-0.6931,2.313,AML
0.6972,1.4369,-0.0198,1.6481,-0.9762,-0.8893,-0.8754,-1.0987,-0.7434,1.6332,AML
0.1613,-0.0342,-0.3106,-0.2679,-0.8767,-0.6411,-0.8645,-1.2801,-0.7851,-0.6692,AML
0.4763,-0.4848,-0.221,-0.3647,-0.7854,-0.72,-0.9483,-0.8134,-0.9181,1.4345,AML
1.1163,1.383,0.3015,0.6051,-0.872,-0.625,-0.8111,-0.662,-0.7434,1.7548,AML
2.7507,1.6107,1.5585,1.8555,-0.906,-0.9054,-0.834,-0.6337,-0.7068,2.441,AML
0.0913,0.891,2.0132,0.6505,-0.7527,-0.8186,-0.8575,-0.5678,-0.7154,0.7915,AML
1.0873,-0.4389,0.7803,1.4905,-0.4132,-0.8217,-0.8462,-0.8087,-0.4292,-0.0374,AML
1.1926,0.088,0.0567,0.0603,-0.9645,-0.5064,-0.9413,-0.6527,-0.8194,1.7536,AML
0.3527,1.5656,2.4395,2.3974,-1.0359,-0.6968,-0.7952,-0.7136,-0.8376,0.9585,AML
1.4136,5.0675,0.7693,2.9833,-0.7445,-0.8068,-0.7203,-1.0404,-0.7987,1.1778,AML
0.5395,2.3133,0.3846,-0.0893,-1.0699,-0.995,-0.821,-0.999,-0.8143,1.1461,AML
2.5206,1.3904,1.1169,1.383,-0.968,-0.654,-1.0007,-0.6105,-0.7997,1.2498,AML
1.7171,0.7586,0.4633,1.2267,-0.8685,-0.9781,-0.8963,-0.6333,-0.9073,1.2392,AML
0.5121,2.3896,0.8961,-0.0197,-0.9692,-0.8897,-0.89,-1.1237,-0.8217,1.7884,AML
0.8447,1.1943,0.5005,1.7959,-0.8849,-0.929,-0.7163,-1.1444,-0.8124,0.0887,AML
0.4182,0.5747,-0.1772,-0.1363,-0.659,-1.0166,-0.8436,-0.8354,-0.6963,2.2637,AML
1.0241,0.1248,0.2381,-0.5211,-0.6766,-0.9278,-0.8399,-0.8941,-0.7676,-0.7684,AML
0.4592,0.8439,0.3125,1.5558,-0.7597,-1.0448,-0.8479,-1.0624,-0.892,0.5473,AML
-0.481,-0.5325,-0.1663,-0.1951,-0.5806,-0.8956,-0.7412,-0.3564,-0.7586,-0.0115,AML
2.5975,1.7671,3.2047,2.6994,-0.9025,-0.7715,-0.8313,-0.7077,-0.8042,0.5767,AML
1.5867,0.2878,3.9064,0.0009,-0.6719,-1.1348,-0.593,-0.9051,-0.8465,0.9393,AML
3.2718,1.0089,2.5969,3.4401,-0.8147,-0.4553,-0.3703,-1.0176,-0.8548,0.6203,AML
