U07804_s_at,J04093_s_at,L13943_at,L36151_at,L77561_at,X64624_s_at,S68134_s_at,U30245_at,U06233_at,X07767_at,L13740_at,K03430_at,L37347_at,X02910_at,L37882_at,L24564_at,U89336_cds6_at,X64177_f_at,U49436_at,U39573_at,X77166_at,D14822_at,D63882_s_at,HG1205-HT1205_at,X96719_at,D16181_at,HG3954-HT4224_s_at,U79260_at,Z70759_at,D88795_at,U61538_at,D86974_at,L40392_at,L24774_s_at,U03397_s_at,D25538_at,M61764_at,M38258_at,U35048_at,L22342_at,AFFX-HUMISGF3A/M97935_MB_at,X65784_s_at,M99063_at,HG2868-HT3012_s_at,X56807_at,M80359_at,S68271_s_at,D26561_cds1_at,X13916_at,L48546_at,U92971_at,U34038_at,D31784_at,U20499_at,U40705_at,Z19574_rna1_at,U18985_at,M93415_at,X69978_at,HG3995-HT4265_at,X04470_s_at,U73704_at,L37368_at,D31891_at,X73460_at,M21642_s_at,AFFX-HUMGAPDH/M33197_M_st,X52773_at,X94754_at,HG1078-HT1078_at,M62397_at,M25756_at,AFFX-HUMISGF3A/M97935_3_at,U79263_at,L08044_s_at,D11151_at,Z22548_at,U51587_at,HG3570-HT3773_at,M29960_at,X84003_at,X87237_at,Z24724_at,HG2709-HT2805_at,J04046_s_at,HG1428-HT1428_s_at,U30998_at,U29607_at,L10333_s_at,HG1116-HT1116_at,D87460_at,L19871_at,M62324_at,D84110_at,X78342_at,HG1327-HT1327_s_at,Y09321_at,M93221_at,U66033_at,AB000584_at,class
-0.3475,0.6463,-0.4187,0.0014,0.0724,0.7079,0.4308,0.4831,0.4345,0.6796,-0.3395,1.124,-0.1566,-0.0719,0.3724,-0.7311,-0.016,-0.4724,0.0738,-0.1405,0.2105,-2.0261,0.4502,-0.1764,-0.5372,-0.7076,-0.8061,0.198,-0.6897,0.3669,0.0773,0.1612,-0.0736,-0.2092,-0.3396,-0.7644,-0.9925,0.583,-0.0578,1.1038,0.1955,0.0695,1.2738,0.9823,-0.4126,-0.4728,-0.6012,-1.9668,-0.6535,-0.6262,0.5989,0.4014,1.9135,0.2064,-0.2517,-1.1309,-0.7451,0.4738,0.3402,1.5449,-0.1024,-0.0648,0.7549,0.3168,-0.4777,0.4457,-0.3351,0.1011,0.3338,0.7354,1.5999,0.9364,0.2428,0.9901,-1.422,0.4928,-0.5517,-0.2873,-0.0328,1.2279,0.6476,-0.4708,-0.409,-0.368,-0.3773,-0.0606,0.9522,0.7506,0.3025,-0.2214,0.219,-0.6152,0.057,0.432,-1.4254,-1.6228,-0.8804,-0.1476,-0.2812,0.3017,ALL
-0.1221,-0.49,-0.1384,1.5638,0.1034,-0.3143,0.1362,0.6602,0.3207,0.0617,0.2053,0.3948,-0.3864,0.4114,0.8541,-0.2745,0.4111,0.47,0.5143,1.8868,0.2415,-0.0511,-1.1187,0.0283,1.5196,-0.1152,0.0074,0.211,-0.9484,-1.0339,1.0969,0.5647,0.2226,-0.2413,0.0304,-0.0191,-0.5753,-0.5682,1.318,1.094,-0.1991,0.422,-0.6817,-1.3933,0.0342,-0.5728,1.7295,0.48,0.5071,1.2133,-1.3023,1.1486,0.1565,0.578,-0.1527,0.0101,0.0673,1.222,1.364,-0.2715,-0.7511,-0.4693,1.7333,-0.4465,-0.384,0.7266,0.4913,-0.2785,-0.01,0.1351,-0.1792,0.1261,-0.369,0.3889,1.0268,0.1064,-0.5408,-0.5327,1.4425,-0.7992,-0.7625,0.0655,-0.2863,0.6602,1.5525,-0.1511,-0.0324,0.6605,-0.4986,-0.1179,0.8547,0.9916,0.4987,0.5759,0.0134,-0.0022,0.1125,-0.1476,0.2681,-0.2662,ALL
0.2215,0.1918,0.1886,0.8986,0.9335,-0.3825,0.71,-0.2252,1.0036,0.1486,-0.3808,1.4527,-0.4603,-0.2583,-0.3644,-0.998,0.0807,-0.1378,0.8637,-0.6644,0.2622,-0.7014,-0.6029,0.0923,-0.451,0.6302,0.131,0.4737,-0.4266,1.6317,1.0868,-0.4169,0.5837,0.1322,0.7588,-0.0552,0.1409,1.306,0.1534,0.7471,1.2358,0.3647,-0.4994,0.5079,-0.1892,-1.3249,1.1601,-0.6299,0.5398,0.0629,1.0051,0.8194,1.6293,0.4301,-0.0017,-0.6419,0.3173,0.6733,0.0512,-1.3508,-0.7511,0.2555,1.3715,0.5816,-0.6395,-0.0039,1.5818,-0.4224,1.0605,1.4186,0.1141,-0.3961,1.3806,1.6628,1.9214,0.4376,-0.0819,0.5959,0.5978,0.1589,-0.3725,-0.1338,0.1325,1.2834,-0.4712,0.4355,0.8251,1.4106,0.6542,0.8584,0.6843,-0.486,-0.3247,2.1943,-0.6313,-0.1661,-0.3036,0.1016,-0.3728,0.2886,ALL
-0.7125,0.4758,0.6714,-0.5701,0.662,-0.4542,0.4929,-1.2876,0.4725,-0.7228,-0.5302,-0.7812,0.1143,-0.6426,1.2168,-0.3397,-1.0393,0.022,-0.068,-0.041,-0.2753,-0.2679,1.6108,1.4168,-0.2689,-0.593,-0.9502,0.0939,-0.4801,-0.8299,0.2287,1.157,-0.1411,0.59,-0.2124,-0.3677,-0.4932,-0.3288,-0.4589,0.3539,-0.0437,0.2563,-0.3024,0.1602,0.5153,-0.3088,-0.7075,-0.4533,-0.8333,0.6138,0.1495,0.8978,0.3374,0.1455,1.7068,-0.8049,-1.5888,-0.9978,1.3805,0.9972,1.0089,1.9747,0.1578,1.4017,-0.1632,-0.6032,-1.3522,1.3078,0.5749,-0.0486,-0.1987,0.1081,-0.3992,-0.4127,1.5788,0.4744,-0.7634,-0.7999,-1.5375,0.9556,0.7376,0.0257,0.1181,0.1149,-0.3148,0.3271,2.5242,0.5635,0.195,0.6464,0.3818,-0.3295,-0.0773,-0.2801,-0.379,0.8536,-0.9169,-0.5383,-0.8122,-0.1058,ALL
0.7045,0.0214,0.2665,0.2797,-0.5404,-0.5378,0.0586,0.3061,-0.2294,0.1245,-0.395,0.4975,-0.2058,-0.1913,0.5651,1.1757,-0.8862,0.3461,0.5194,0.0428,1.5544,0.0693,0.5147,-0.8035,-0.499,0.0186,-0.3221,0.315,-0.3498,-0.5307,-0.1246,-0.6406,0.4538,0.4856,-0.0505,0.4137,0.3248,-0.338,0.8727,-0.2666,-0.1752,-0.2017,-0.5043,-0.0317,0.0342,1.0113,-0.1381,-0.0497,0.5779,-0.4302,-0.6801,0.0252,-0.1535,0.3321,-0.1371,0.2077,-0.4326,-0.1124,0.3815,-0.0136,-0.2181,0.3734,-1.8469,0.5934,1.1316,-0.2848,-0.5454,0.9042,0.3763,-0.9441,-0.5897,0.9364,-0.2849,1.2191,0.5827,-0.3169,-0.4612,-0.1946,-0.0053,0.3808,-0.1025,0.283,0.6813,0.5512,-1.2753,-1.1926,-0.0641,-0.6308,-0.6256,0.0153,-0.3267,-0.2749,-0.0561,-0.316,1.5831,-0.2207,0.0833,-0.4647,0.5977,0.4122,ALL
0.2537,-1.1149,-0.4342,-0.566,0.7589,-0.362,-0.9029,0.2808,0.4914,-0.1459,-0.6184,-1.0174,1.2223,-0.6542,0.174,-0.4316,0.4353,-0.0417,-0.3312,2.0125,0.5517,-0.4124,-0.4525,1.5192,-0.7419,-0.5356,-0.3324,-0.1871,0.5739,-0.3947,-0.1246,0.5153,-0.2736,-0.1489,0.6663,-0.7123,-0.48,0.0581,-0.2191,0.134,0.04,0.19,-0.4994,-0.4699,0.3778,-0.2808,-0.2595,-0.2767,0.1529,-0.3274,0.0804,0.694,0.3891,-0.093,-0.3403,-0.1282,0.0048,-0.2121,0.0925,0.4838,-0.2332,-0.5705,-0.217,-0.3,-0.3532,-0.4534,0.4962,-0.818,0.6741,-0.3305,0.7788,0.0721,-0.4043,-0.5129,1.103,-0.2985,-0.0981,-0.8925,-1.5866,0.0278,-0.2225,0.0365,-0.3296,1.5171,1.1036,-1.0163,-0.747,0.2708,0.0387,0.2618,-0.587,-0.3405,-0.7982,-0.4383,-0.5845,-0.421,-0.5153,-0.0513,-1.2333,-0.1768,ALL
-0.5085,-0.471,-0.4965,-0.1547,0.9761,-0.4405,0.2137,0.2555,0.5673,-0.7397,-0.4562,-0.016,0.1553,-0.7969,0.0267,-0.8082,0.6851,-0.3045,-1.1009,-0.6748,0.6447,0.3342,-0.6029,0.0603,-0.3805,-0.4783,-0.7855,0.1771,0.4967,-0.8163,0.5215,1.0442,0.8071,1.0839,0.8744,0.606,-1.2619,-1.2175,-0.5217,0.7374,-0.4303,0.6268,0.2296,1.2503,-0.8593,-1.6809,0.0745,-0.1001,-0.6317,0.2422,2.081,-2.713,0.9575,0.212,-0.6268,-1.0717,2.0046,0.2244,0.6952,1.0771,-0.5098,-0.0648,0.2864,0.8983,0.7311,0.2584,-0.1444,-1.4253,0.0538,0.8014,-0.9025,-0.7022,-0.453,-0.427,0.6779,-1.0346,-0.7819,0.0998,-1.8282,0.6127,-1.0626,0.7722,-0.0408,1.0965,0.2972,1.3061,-0.1276,0.9721,0.4783,-0.0291,0.5943,-0.3277,-0.102,0.5327,-0.5565,0.107,-0.216,-0.1476,0.1033,0.7224,ALL
0.5757,-0.8119,-0.4031,-0.5334,1.1468,0.6277,-1.2751,-0.301,1.2313,-0.7131,0.5283,-0.0879,-1.2564,-0.561,-0.3984,-0.5473,0.943,-0.9807,-0.0325,-0.24,0.438,0.551,-1.4626,1.6152,-0.7566,1.0125,-1.0223,1.3063,0.3901,0.6117,-0.6495,1.4133,-0.4711,-1.2091,0.4813,-0.6202,-2.2869,-0.2873,-0.5445,0.4442,0.3629,0.9944,-0.7605,0.8882,0.1545,-0.8008,-0.0773,0.7071,-2.1573,0.4793,-0.127,0.5791,0.2857,-0.0468,1.4829,-1.5014,0.286,0.6733,0.4723,0.1119,-0.8341,0.5588,0.6721,1.1157,-0.8451,0.1834,-0.5307,-1.2575,1.4221,0.2163,-2.2123,0.2161,-0.1219,-1.0425,-0.8257,0.4192,0.0425,2.8314,-0.6339,-1.0513,1.1577,-0.0758,-0.3296,1.8754,0.2347,0.6527,0.9045,1.2239,1.2305,0.0744,1.0442,-0.1585,-0.3282,-0.0571,-0.6126,2.7473,-1.6688,-0.1079,-2.0389,0.4043,ALL
-0.369,0.6463,-0.1072,1.405,0.2935,-0.1538,0.3223,-0.3263,0.4156,2.0797,-0.3623,-0.283,-0.5587,1.3081,-0.4437,-0.485,-0.0885,-0.5396,1.0358,-0.371,0.5,-0.2197,0.6221,-0.0933,-0.7263,0.7258,-0.1985,0.0523,-0.8915,0.2173,-0.3467,-0.5769,-0.3152,0.1723,1.2328,0.1011,0.5614,-1.1254,0.4203,1.1502,0.0002,0.5696,-0.1546,0.9461,0.0342,-1.0329,0.4996,0.5809,-0.0923,-0.7103,-0.3387,0.8351,-0.0502,0.1492,1.7068,-0.2665,-0.4951,0.4239,1.0503,-1.0907,-0.6204,0.1712,2.0362,0.2507,0.6486,1.9066,2.2224,1.3277,1.0959,-0.4018,1.2284,1.0984,0.1672,-0.8278,0.3353,0.1984,-0.3747,0.3669,1.1576,-0.4361,0.6176,-0.0106,0.7463,1.26,0.018,-1.5371,-0.207,-0.3871,1.6799,-0.5222,-0.049,-0.2749,-0.9254,-0.5174,0.6207,-1.1676,1.3463,-0.4024,-0.0981,0.3412,ALL
-0.1543,-0.7551,0.7025,-0.5416,-0.3038,-0.4559,-0.4842,-0.6299,-0.6468,-0.2014,-0.3438,0.3435,0.1881,0.0271,-0.5628,0.1199,-0.3625,1.6765,0.0738,-0.942,-0.1926,-0.5328,0.1063,-1.277,-0.1229,-0.9752,0.8312,-0.4707,-0.0843,-0.6259,0.1379,-1.1817,-0.4035,-0.0485,-0.8136,-0.508,0.2427,0.0995,2.5611,-0.247,-0.0437,-1.3014,0.1508,-1.3752,0.584,-0.2568,-0.009,1.3125,-0.2503,-0.1201,2.4612,-0.2988,-0.1277,-0.7344,-0.9028,1.3093,0.2548,-0.6112,-0.3204,0.5545,-0.2659,-0.975,-0.3913,-0.6569,1.293,0.7641,-0.5112,-0.4903,-0.517,-0.6382,-0.7461,-0.3241,-0.0782,0.7181,0.7223,-0.5745,0.3941,-0.0692,-0.8951,0.2396,-0.0425,-0.4491,-0.5318,-0.3914,0.7663,-0.9255,-0.5088,-0.6187,-0.5083,-0.7047,-0.2692,2.442,0.0428,-0.0859,0.6207,0.4348,-0.822,-0.6855,0.2864,-0.7395,ALL
-0.0684,-0.2059,-0.8391,0.4765,-0.6296,-0.4047,0.2137,-0.2758,-0.2864,0.2693,-0.4733,0.2459,-0.1073,0.522,-0.3304,0.1704,-0.2899,-0.1366,0.4738,-0.02,0.7481,-0.1475,1.1379,-0.7395,0.5304,-0.9752,1.9999,-0.6424,-0.7349,-0.6531,0.3701,-0.503,-0.0892,-0.0365,-1.4958,-0.3316,-0.1121,0.2054,0.9355,-0.7966,-0.4781,0.196,-0.7556,-1.1471,-0.3267,0.9313,0.9248,-0.0245,0.992,-1.1305,0.2619,-0.3354,0.3115,-0.3351,-0.2048,0.267,0.286,-0.6611,-0.1222,-0.0387,-0.4922,-0.5705,1.012,-0.5978,0.3984,-0.4346,1.1025,1.1919,0.4189,-0.3117,-0.6288,0.8824,-0.6496,0.7754,0.7921,-0.5009,0.3833,-0.8598,-0.7792,1.0766,-0.4025,-0.9637,-0.5896,-0.9211,0.2101,-0.0941,-0.0006,-0.2796,-0.0297,0.1385,-0.7728,0.5949,0.6895,0.0436,-0.6126,-0.4028,0.4775,-0.0003,-0.2812,0.1124,ALL
-0.0362,0.3054,-0.2007,-1.0805,-0.2728,-0.49,0.1052,0.1796,-0.9313,-0.4814,0.2722,-0.622,0.065,0.0474,-0.115,0.1644,-0.443,1.2921,-0.7819,-1.2773,-0.0479,-0.2438,-0.259,0.0347,1.1895,0.6302,-0.7288,-1.0222,0.3458,0.6389,-0.0135,-0.9752,-0.7257,-1.0203,-1.0333,-0.4398,-1.0747,-0.6741,-0.3661,-1.1899,-0.7292,-1.3255,-0.6817,-0.6727,0.3606,-0.0848,0.1656,-0.5038,-0.1522,-1.8831,0.0545,0.3335,-0.3602,-0.5255,0.7171,0.0299,-0.4639,-0.6112,-0.7002,0.0617,0.0685,-1.093,-0.9361,-0.9476,-0.0411,-0.9591,-0.1053,0.4367,-1.0664,-0.4892,-0.316,0.6483,-0.8412,-0.9995,-0.6163,-0.4457,-0.462,0.1925,-0.133,0.1488,1.2777,-1.0325,-0.5896,-0.9367,0.4022,-0.7224,-0.7946,-0.4651,-0.3423,-0.2461,-0.5507,0.0508,-0.36,-0.3952,0.275,0.6897,-1.0556,-0.5836,0.3413,0.2176,ALL
-0.0362,0.7031,1.2631,0.5484,-0.7615,2.0936,0.0586,-0.4781,-0.1156,1.5607,0.0659,-0.1495,0.0486,-0.1593,-0.251,0.4788,0.0727,-0.2351,0.5599,0.2314,0.6033,0.0934,0.0203,-0.9059,-0.2542,-0.765,-0.25,-0.096,-0.7587,-0.6667,-4.0515,-0.2579,0.7266,-0.3296,-0.2124,0.7262,0.8833,0.0581,0.8313,-0.1371,0.1437,0.2533,0.0522,-0.2272,-0.55,0.2472,-0.0242,-1.0335,-0.125,-0.0156,-0.9609,-1.0095,0.4924,0.09,0.2588,0.0299,-0.4014,-0.0625,-0.4525,-0.1962,0.7223,1.9241,1.1406,0.194,-0.2937,0.2584,-0.7019,0.7564,-1.0806,0.0111,-0.2769,-0.198,0.2108,0.0311,-0.3181,-0.869,-0.2627,0.1489,-0.2606,-0.305,0.3476,0.1344,0.6813,-0.2901,1.528,-0.2189,0.6028,0.0789,-0.3716,-0.6652,-0.589,-0.2968,0.2407,0.1947,0.1722,0.1617,0.3753,1.404,0.1399,-1.8991,ALL
0.0819,0.3054,0.8427,0.1046,0.0336,-0.4269,0.1052,-0.554,0.1689,0.1124,-0.3467,0.1175,0.5657,-0.4446,0.5424,-0.2774,-0.0401,-0.1934,-0.549,-0.4443,0.8101,1.3699,0.4502,0.329,-0.1641,-1.3192,-0.8679,0.6611,-0.6982,-0.8027,-0.0337,0.3831,0.4226,-0.3377,2.0653,2.3932,-0.4899,-0.5544,0.0378,0.4931,0.0759,-0.4789,-0.0413,0.2653,1.1511,0.3632,0.0441,-0.201,-0.1413,-0.1874,-0.2955,0.4118,-0.4119,0.7665,0.7432,0.2225,1.4422,-0.5239,0.6952,0.3423,-0.721,-0.4693,0.1121,1.2102,0.1373,1.7755,0.8874,1.4996,0.2735,0.5624,1.2675,0.3962,1.4074,-0.2266,0.1387,-1.1266,-0.2225,-1.127,0.4583,0.8649,1.2777,0.9244,0.7896,1.3691,-0.317,0.1314,-0.5405,0.717,-0.0199,0.7401,-0.8781,-0.3223,-0.8865,-0.0931,0.2283,0.3255,0.8352,-0.1815,0.5244,0.4017,ALL
0.8763,-0.6414,0.7492,0.6787,-0.8352,-0.5907,-0.0809,0.1543,-0.3622,0.2596,-0.4861,-0.3344,0.0979,-0.6542,1.0865,0.3335,-0.1529,-0.2513,0.6308,0.4148,0.7687,0.6232,0.9445,-0.7331,0.7507,-0.1534,-0.2912,-0.3536,-0.5706,-1.3739,-0.0135,1.0432,0.1109,1.9673,0.3079,0.1813,0.8735,-0.3288,0.1234,0.3856,2.4315,0.2292,-1.056,-0.4156,-0.0517,0.2352,-0.1836,-1.2857,0.1584,0.0442,-0.7449,-0.3511,-1.3679,0.8201,0.3213,1.1265,-0.8388,-0.5863,0.0512,-0.146,0.4733,-0.1491,-0.156,1.085,0.5718,-0.5658,-0.1493,0.4327,0.7627,-0.4625,-0.9611,-0.5221,1.7268,0.3889,0.9126,-0.3353,-0.5748,-0.0856,-0.0505,1.2784,0.5576,-0.1555,0.9413,0.9952,0.8489,-1.5176,-1.0328,0.2498,-0.0004,-0.0538,-1.2859,-0.3696,0.2796,-0.6253,0.7141,0.016,0.0249,-0.3514,-0.1897,0.1466,ALL
0.6723,-0.9444,0.3288,-0.4832,0.1577,-0.5668,0.3533,-0.4781,-0.5709,-0.3728,-0.3751,-0.0211,-0.7065,-0.4155,-0.5968,0.0636,-0.1368,-0.2212,-0.2047,-0.3553,0.3553,-0.3401,-1.7205,-0.426,-0.217,-0.0387,-0.3272,0.0497,-0.4747,0.1085,0.4609,0.7581,0.194,-0.7473,0.4929,-0.3357,-0.4538,1.329,-0.2819,0.1267,-0.2071,0.6208,1.1704,0.0371,-0.9281,0.8113,0.0289,-0.0245,-0.1686,1.4728,0.3699,0.1349,0.2082,0.2046,-0.2153,0.3954,-0.6826,0.7232,0.8273,0.6435,-1.0403,0.0026,-0.8031,0.1443,1.1649,-1.1838,0.1783,-0.4903,0.2204,0.0718,-0.5506,0.0541,-0.0396,0.2744,0.5066,-0.1329,-0.5316,0.3179,-0.4846,0.2597,-0.8526,-0.0903,-0.1563,0.0916,-0.6834,-0.2793,-0.2547,0.2454,0.0876,0.4935,0.1711,-0.4824,0.7107,0.4608,0.1255,-1.0583,-0.4423,0.2998,-0.0798,-0.2531,ALL
